"id","person_age","person_gender","person_education","person_income","person_emp_exp","person_home_ownership","loan_amnt","loan_intent","loan_int_rate","loan_percent_income","cb_person_cred_hist_length","credit_score","previous_loan_defaults_on_file","loan_status"
"16211",23,"female","High School",46673,0,"RENT",8000,"MEDICAL",11.38,0.17,3,594,"Yes",0
"16212",23,"female","Associate",29922,0,"RENT",5000,"MEDICAL",12.64,0.17,4,597,"Yes",0
"16213",23,"male","Master",72797,0,"MORTGAGE",15000,"PERSONAL",15.21,0.21,3,680,"Yes",0
"16214",26,"female","High School",77719,0,"RENT",4055,"DEBTCONSOLIDATION",11.01,0.05,3,634,"No",1
"16215",28,"female","Associate",17963,8,"RENT",2000,"VENTURE",11.34,0.11,4,709,"Yes",0
"16216",30,"male","Associate",60902,8,"MORTGAGE",10000,"VENTURE",11.01,0.16,9,676,"Yes",0
"16217",28,"male","High School",225110,7,"MORTGAGE",10000,"MEDICAL",14.22,0.04,9,567,"Yes",0
"16218",22,"female","High School",10748,1,"RENT",5400,"VENTURE",7.75,0.5,4,678,"No",1
"16219",24,"male","Master",108392,5,"RENT",6000,"MEDICAL",13.92,0.06,3,588,"Yes",0
"162110",23,"male","Bachelor",60936,1,"RENT",5600,"MEDICAL",11.49,0.09,4,634,"No",0
"162111",25,"male","Bachelor",15187,4,"RENT",3600,"DEBTCONSOLIDATION",9.62,0.24,2,620,"No",1
"162112",28,"female","Bachelor",49247,6,"MORTGAGE",19200,"EDUCATION",9.91,0.39,8,717,"No",0
"162113",23,"male","Bachelor",100420,4,"RENT",20000,"DEBTCONSOLIDATION",11.01,0.2,2,571,"No",1
"162114",23,"male","Associate",81042,0,"MORTGAGE",24775,"VENTURE",15.44,0.31,4,624,"Yes",0
"162115",28,"female","Associate",95645,9,"MORTGAGE",2000,"VENTURE",16,0.02,10,676,"Yes",0
"162116",26,"female","Master",62253,2,"RENT",5000,"MEDICAL",12.42,0.08,4,636,"No",1
"162117",30,"female","High School",54557,6,"MORTGAGE",20000,"VENTURE",9.79,0.37,10,603,"Yes",0
"162118",41,"male","High School",70504,22,"MORTGAGE",5200,"DEBTCONSOLIDATION",12.87,0.07,11,654,"No",0
"162119",21,"female","High School",22811,2,"RENT",7000,"HOMEIMPROVEMENT",11.14,0.31,4,648,"No",1
"162120",22,"female","Associate",48807,0,"RENT",4000,"PERSONAL",11.49,0.08,4,683,"No",0
"162121",27,"female","Bachelor",44328,6,"MORTGAGE",15200,"DEBTCONSOLIDATION",16.35,0.34,6,672,"No",1
"162122",22,"female","Bachelor",54798,0,"RENT",10000,"EDUCATION",11.01,0.18,3,647,"Yes",0
"162123",25,"male","Associate",80400,1,"MORTGAGE",20000,"MEDICAL",15.27,0.25,4,594,"No",1
"162124",28,"female","Bachelor",50650,5,"RENT",10000,"DEBTCONSOLIDATION",11.01,0.2,6,667,"No",1
"162125",24,"male","Associate",86886,1,"RENT",3000,"HOMEIMPROVEMENT",7.43,0.03,2,628,"Yes",0
"162126",21,"female","Bachelor",32656,0,"RENT",3600,"DEBTCONSOLIDATION",14.27,0.11,3,684,"Yes",0
"162127",28,"male","High School",56042,6,"RENT",2884,"VENTURE",12.52,0.05,8,624,"Yes",0
"162128",25,"female","High School",23386,3,"RENT",12589,"VENTURE",7.96,0.54,4,494,"No",1
"162129",37,"male","High School",16000,16,"RENT",4000,"VENTURE",9.99,0.25,13,724,"No",1
"162130",24,"male","Associate",35819,2,"RENT",6250,"DEBTCONSOLIDATION",10.99,0.17,2,667,"No",0
"162131",23,"male","Bachelor",97132,1,"MORTGAGE",24000,"EDUCATION",16.32,0.25,3,549,"Yes",0
"162132",22,"male","Bachelor",59788,1,"MORTGAGE",7834,"MEDICAL",15.23,0.13,3,585,"No",1
"162133",22,"female","High School",46422,0,"RENT",8000,"DEBTCONSOLIDATION",11.36,0.17,3,574,"Yes",0
"162134",22,"male","High School",64093,0,"RENT",15000,"EDUCATION",10.37,0.23,3,670,"No",0
"162135",26,"male","High School",47385,7,"RENT",7647,"MEDICAL",9.76,0.16,6,651,"Yes",0
"162136",25,"male","Associate",41808,2,"RENT",8000,"MEDICAL",16.53,0.19,4,570,"No",1
"162137",23,"male","Associate",79049,0,"RENT",3600,"MEDICAL",10.59,0.05,3,667,"No",0
"162138",23,"female","Bachelor",166609,1,"RENT",5000,"EDUCATION",14.91,0.03,2,639,"No",1
"162139",44,"male","High School",87472,20,"RENT",25000,"HOMEIMPROVEMENT",19.41,0.29,17,605,"No",1
"162140",25,"male","High School",33312,1,"RENT",7300,"VENTURE",11.14,0.22,4,645,"Yes",0
"162141",23,"female","Bachelor",73354,0,"MORTGAGE",13247,"PERSONAL",8.31,0.18,3,631,"Yes",0
"162142",33,"male","Bachelor",63420,12,"MORTGAGE",14000,"DEBTCONSOLIDATION",8.88,0.22,9,652,"Yes",0
"162143",24,"female","Bachelor",44293,0,"RENT",12000,"MEDICAL",8.88,0.27,4,622,"No",1
"162144",31,"female","Bachelor",83655,11,"RENT",3710,"MEDICAL",11.79,0.04,10,651,"Yes",0
"162145",31,"male","Master",111411,10,"MORTGAGE",2225,"MEDICAL",7.43,0.02,5,663,"No",1
"162146",28,"female","High School",58322,5,"OWN",1500,"VENTURE",13.47,0.03,5,617,"No",0
"162147",36,"female","Associate",87359,11,"OWN",6000,"VENTURE",11.36,0.07,17,647,"Yes",0
"162148",23,"male","Associate",69193,0,"MORTGAGE",12000,"VENTURE",5.42,0.17,2,573,"No",0
"162149",25,"male","Associate",152135,3,"MORTGAGE",6000,"DEBTCONSOLIDATION",6.92,0.04,3,663,"Yes",0
"162150",26,"male","Bachelor",64760,6,"MORTGAGE",11000,"VENTURE",6.13,0.17,4,699,"No",0
"162151",24,"male","High School",92425,0,"MORTGAGE",7000,"DEBTCONSOLIDATION",12.92,0.08,3,673,"No",1
"162152",24,"female","Bachelor",108981,0,"RENT",10000,"PERSONAL",11.01,0.09,4,672,"No",0
"162153",27,"female","Master",38572,8,"MORTGAGE",12300,"HOMEIMPROVEMENT",12.53,0.32,8,664,"Yes",0
"162154",21,"male","High School",22575,1,"OWN",6500,"HOMEIMPROVEMENT",7.4,0.29,3,646,"No",1
"162155",29,"male","Associate",61234,6,"RENT",14454,"DEBTCONSOLIDATION",11.01,0.24,5,524,"Yes",0
"162156",22,"male","Bachelor",81701,1,"RENT",23400,"VENTURE",7.49,0.29,2,589,"No",1
"162157",26,"male","Bachelor",37057,1,"RENT",6000,"DEBTCONSOLIDATION",16.77,0.16,2,670,"No",1
"162158",24,"female","Master",95223,0,"RENT",7000,"VENTURE",6.03,0.07,3,574,"Yes",0
"162159",25,"male","Associate",66771,2,"RENT",6000,"DEBTCONSOLIDATION",10.65,0.09,2,664,"Yes",0
"162160",39,"female","Bachelor",68178,16,"MORTGAGE",8000,"MEDICAL",16.07,0.12,14,684,"No",1
"162161",34,"female","Associate",47580,12,"RENT",7500,"DEBTCONSOLIDATION",9.45,0.16,9,607,"No",1
"162162",23,"female","High School",31184,0,"RENT",5500,"PERSONAL",9.32,0.18,4,614,"No",0
"162163",28,"male","Bachelor",66834,7,"MORTGAGE",7000,"MEDICAL",11.01,0.1,6,676,"No",0
"162164",22,"female","Bachelor",103373,0,"MORTGAGE",18000,"VENTURE",11.01,0.17,4,678,"Yes",0
"162165",28,"female","Bachelor",54300,5,"MORTGAGE",10000,"PERSONAL",8.59,0.18,6,666,"No",0
"162166",34,"female","Bachelor",99814,11,"MORTGAGE",5000,"PERSONAL",9.24,0.05,9,671,"Yes",0
