"num","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
1676,1.02,"Fair","J","SI1",66.8,55,3027,6.25,6.18,4.15
568,0.9,"Good","J","SI1",64.3,63,2832,6.05,6.01,3.88
38209,0.43,"Premium","F","SI1",60.5,60,1016,4.88,4.84,2.94
52607,0.83,"Premium","E","SI2",62,61,2544,6.05,5.98,3.73
48204,0.53,"Ideal","G","VVS2",61.7,56,1948,5.2,5.23,3.22
31014,0.35,"Good","F","SI1",63.6,54,748,4.52,4.51,2.87
13836,1,"Ideal","D","SI1",62.8,55,5639,6.3,6.38,3.98
47801,0.71,"Ideal","J","SI2",61.3,56,1901,5.73,5.78,3.53
11040,1.01,"Premium","H","VS2",60.7,61,4921,6.47,6.39,3.9
11253,1.01,"Ideal","F","SI1",62.5,56,4969,6.38,6.42,4
15782,2.01,"Fair","G","I1",70.2,57,6315,7.53,7.5,5.27
34207,0.34,"Premium","F","VS2",59.8,59,854,4.55,4.51,2.71
39582,0.39,"Good","E","VS1",57.8,58,1082,4.86,4.9,2.82
12235,1.02,"Premium","D","SI2",59.7,60,5198,6.58,6.55,3.92
30546,0.31,"Ideal","D","VS2",62.7,57,734,4.3,4.34,2.71
16766,1.31,"Ideal","F","SI2",62.7,57,6676,7.05,6.98,4.4
771,0.9,"Fair","G","SI2",64.5,56,2858,6.06,6,3.89
592,0.7,"Premium","E","VS1",62.6,59,2837,5.69,5.66,3.55
24830,2.01,"Premium","J","VS2",61.5,60,13228,8.13,8.07,4.98
15515,1.02,"Premium","E","VS2",61.9,62,6215,6.47,6.38,3.98
51409,0.71,"Ideal","E","SI2",61.7,57,2370,5.72,5.76,3.54
15755,1.15,"Ideal","I","SI1",61.9,56,6300,6.68,6.72,4.15
23270,1.53,"Premium","H","VS2",62.2,58,11280,7.34,7.3,4.55
42181,0.5,"Premium","G","SI1",62.9,59,1286,5.09,5.06,3.19
44658,0.35,"Ideal","D","SI2",62.2,56,522,4.52,4.55,2.82
4947,1.01,"Ideal","F","SI2",62.4,56,3733,6.44,6.38,4
31717,0.33,"Ideal","E","VS1",62.3,53.8,771,4.42,4.44,2.76
12554,1.01,"Ideal","G","SI1",61.6,57,5273,6.4,6.32,3.92
29642,0.35,"Premium","F","VS2",62,59,706,4.51,4.55,2.81
30408,0.34,"Ideal","D","VS2",60.8,57,730,4.52,4.56,2.76
42260,0.47,"Good","E","VS2",58.4,60.3,1294,5.08,5.17,3
34774,0.41,"Premium","D","SI2",62.3,58,876,4.77,4.74,2.96
43416,0.57,"Very Good","D","SI2",62.9,57,1413,5.26,5.3,3.32
38872,0.4,"Premium","F","VS1",62.9,58,1050,4.71,4.67,2.95
