"id","person_age","person_gender","person_education","person_income","person_emp_exp","person_home_ownership","loan_amnt","loan_intent","loan_int_rate","loan_percent_income","cb_person_cred_hist_length","credit_score","previous_loan_defaults_on_file","loan_status"
"12371",34,"male","Associate",157047,13,"RENT",8000,"VENTURE",10.99,0.05,10,650,"No",0
"12372",29,"female","Bachelor",40292,7,"RENT",17177,"MEDICAL",14.47,0.43,4,701,"No",1
"12373",23,"female","Master",72816,0,"MORTGAGE",5600,"VENTURE",10.74,0.08,5,661,"Yes",0
"12374",25,"male","High School",138974,3,"MORTGAGE",4000,"PERSONAL",6.03,0.03,4,656,"Yes",0
"12375",25,"male","Bachelor",130798,3,"MORTGAGE",15000,"VENTURE",6.62,0.11,2,663,"No",0
"12376",29,"female","High School",41604,4,"MORTGAGE",10000,"DEBTCONSOLIDATION",12.44,0.24,6,628,"No",0
"12377",23,"male","Bachelor",36742,0,"RENT",6000,"DEBTCONSOLIDATION",11.71,0.16,4,596,"Yes",0
"12378",23,"female","High School",90810,2,"OWN",12000,"EDUCATION",12.49,0.13,4,666,"Yes",0
"12379",24,"male","High School",114696,5,"OWN",10000,"HOMEIMPROVEMENT",15.23,0.09,3,593,"Yes",0
"123710",33,"male","Bachelor",26353,9,"OWN",7750,"EDUCATION",11.83,0.29,6,702,"Yes",0
"123711",23,"male","Associate",51298,3,"RENT",8400,"MEDICAL",14.3,0.16,5,605,"Yes",0
"123712",27,"female","Bachelor",58516,6,"RENT",5250,"MEDICAL",15.27,0.09,6,640,"Yes",0
"123713",30,"male","High School",75347,7,"RENT",12000,"MEDICAL",11.71,0.16,9,521,"Yes",0
"123714",22,"female","Master",99790,4,"MORTGAGE",20000,"MEDICAL",10.52,0.2,3,556,"Yes",0
"123715",23,"male","Bachelor",59299,1,"RENT",12000,"VENTURE",10.25,0.2,4,592,"Yes",0
"123716",27,"male","High School",15497,6,"RENT",4000,"MEDICAL",13.46,0.26,7,576,"No",1
"123717",23,"female","Master",31339,0,"RENT",7100,"PERSONAL",7.9,0.23,2,634,"Yes",0
"123718",29,"female","High School",108928,8,"MORTGAGE",6000,"PERSONAL",13.98,0.06,10,660,"Yes",0
"123719",21,"female","Bachelor",24665,0,"RENT",2000,"MEDICAL",11.01,0.08,3,588,"Yes",0
"123720",27,"female","Bachelor",73094,4,"MORTGAGE",3400,"MEDICAL",11.01,0.05,7,698,"No",0
"123721",24,"male","Bachelor",42780,0,"RENT",4500,"MEDICAL",12.87,0.11,3,652,"No",0
