"num","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
15764,1.3,"Very Good","I","SI1",62.3,58,6302,6.93,6.96,4.33
50752,0.56,"Ideal","F","VVS2",61.9,56,2298,5.28,5.32,3.28
16377,0.28,"Very Good","E","VVS2",58.7,60,608,4.31,4.34,2.54
30997,0.41,"Ideal","I","VS2",61.5,55,747,4.8,4.82,2.96
53082,1.02,"Ideal","J","SI2",61.6,55,2611,6.49,6.43,3.98
44473,0.54,"Ideal","D","SI1",62.6,55,1595,5.19,5.23,3.26
2222,0.9,"Very Good","J","VS2",63.5,56,3145,6.12,6.1,3.88
17931,1.01,"Ideal","F","VS1",62.2,57,7240,6.48,6.39,4
5742,0.9,"Good","F","SI1",61.3,60,3893,6.13,6.18,3.77
33059,0.3,"Ideal","F","VVS1",62,58,814,4.26,4.29,2.65
14807,1.11,"Ideal","E","SI2",60.6,56,5962,6.76,6.78,4.1
16203,1.53,"Ideal","H","I1",62.3,56,6477,7.38,7.34,4.59
43214,0.57,"Ideal","F","SI1",61.6,56,1397,5.36,5.33,3.29
19612,1.32,"Ideal","G","SI1",62.1,57,8231,7.02,7.05,4.37
7788,1.02,"Very Good","E","SI2",58.7,63,4286,6.61,6.55,3.86
52153,0.7,"Very Good","F","VS2",62.4,56,2473,5.63,5.66,3.52
48409,0.72,"Very Good","H","SI2",62.6,53,1970,5.75,5.78,3.61
23340,1.01,"Premium","E","IF",62.6,58,11387,6.37,6.44,4.01
28076,0.3,"Ideal","D","VS1",62,54,661,4.3,4.34,2.68
31939,0.3,"Ideal","F","VS2",61.9,55,776,4.32,4.31,2.67
47101,0.51,"Ideal","D","VS1",60.7,57,1826,5.18,5.23,3.16
49544,0.7,"Good","F","SI1",63.1,56,2127,5.63,5.66,3.56
53770,0.51,"Ideal","F","VVS1",61.4,56,2726,5.15,5.17,3.17
8782,1,"Premium","H","SI1",61.2,62,4469,6.36,6.32,3.88
21034,0.31,"Premium","F","VS2",59,59,625,4.44,4.47,2.63
19313,1.05,"Ideal","G","VS1",61.2,57,8022,6.51,6.55,4
33540,0.35,"Premium","E","VS1",60.8,58,829,4.55,4.58,2.78
41212,0.53,"Premium","G","SI1",62.1,62,1206,5.15,5.13,3.19
53588,0.8,"Premium","H","SI1",62,59,2699,5.91,5.96,3.68
39207,0.63,"Ideal","J","SI2",61.4,54,1065,5.54,5.56,3.41
26473,1.56,"Ideal","G","VS1",61.3,56,16052,7.48,7.44,4.57
10106,1.07,"Very Good","H","SI2",62.1,58,4716,6.53,6.57,4.07
36371,0.33,"Ideal","D","VS2",61.5,56,940,4.47,4.5,2.76
41005,0.55,"Ideal","F","SI2",61.7,55,1183,5.26,5.28,3.25
19708,0.28,"Good","E","VS2",63.7,60,625,4.23,4.18,2.68
43784,0.57,"Ideal","G","SI1",62.3,54,1441,5.34,5.35,3.33
24594,1.22,"Ideal","F","VVS1",61.5,58,12906,6.85,6.9,4.23
35516,0.35,"Ideal","E","VVS1",61.8,56,905,4.5,4.53,2.79
9470,1.07,"Good","J","VS2",61.7,57.7,4602,6.55,6.58,4.05
12299,1.21,"Premium","I","SI1",62.8,57,5218,6.74,6.67,4.21
24795,1.71,"Very Good","H","SI1",60.8,56,13169,7.77,7.73,4.71
8854,1,"Fair","E","VS2",66.4,51,4480,6.31,6.22,4.16
11763,1.08,"Ideal","E","SI2",61.7,57,5080,6.6,6.55,4.06
31731,0.31,"Ideal","G","VVS1",62.5,56,772,4.3,4.34,2.69
14740,1.15,"Good","H","VS1",64.3,54,5935,6.66,6.62,4.27
48014,0.56,"Good","E","VS2",62.3,63,1920,5.22,5.27,3.27
46941,0.52,"Premium","E","VS2",60.9,57,1815,5.2,5.17,3.16
38599,0.5,"Ideal","G","SI2",60,57,1038,5.17,5.2,3.11
32395,0.31,"Ideal","E","VVS2",61.4,57,791,4.37,4.39,2.69
25450,1.64,"Premium","G","VS2",62.4,58,14201,7.49,7.52,4.68
28756,0.31,"Very Good","E","VS2",61.6,59,680,4.32,4.35,2.67
21209,1.52,"Ideal","I","VS2",62.4,55,9352,7.35,7.4,4.6
49223,0.56,"Ideal","G","VVS2",61.6,56,2081,5.32,5.29,3.27
25833,1.7,"Fair","G","VS2",64.5,58,14860,7.51,7.43,4.82
16542,1.25,"Ideal","G","SI1",60.4,57,6608,7.03,7,4.24
20017,0.3,"Very Good","H","SI1",60.8,61,421,4.25,4.3,2.6
28511,0.3,"Ideal","F","VS2",63,55,673,4.29,4.28,2.7
45107,0.55,"Ideal","F","VS2",61.3,54,1649,5.27,5.33,3.25
36039,0.41,"Premium","G","SI1",61.3,60,923,4.81,4.75,2.93
3989,0.82,"Ideal","F","VS2",61.9,57,3514,5.96,5.99,3.7
16856,1.28,"Very Good","I","VS1",62.8,57,6726,6.9,6.95,4.35
1550,0.72,"Good","F","VS1",63.8,58,3002,5.68,5.63,3.61
5759,1.01,"Premium","F","SI2",63,60,3897,6.35,6.28,3.98
16055,1.02,"Ideal","F","VS2",62.1,57,6412,6.44,6.37,3.98
43306,0.6,"Very Good","I","VS2",60.6,60,1402,5.46,5.49,3.32
50909,0.7,"Fair","E","SI1",65.2,58,2318,5.57,5.54,3.62
17973,1.01,"Very Good","G","VVS2",63.2,59,7267,6.35,6.27,3.99
2140,0.72,"Ideal","H","VVS1",61.4,56,3124,5.79,5.77,3.55
19066,1.51,"Ideal","J","VS2",61.7,57,7847,7.44,7.4,4.58
46510,0.57,"Ideal","I","IF",61,55,1779,5.38,5.41,3.29
2080,0.7,"Premium","F","VVS1",61.9,59,3109,5.67,5.6,3.49
44036,0.42,"Very Good","D","VVS1",62.8,56,1547,4.76,4.8,3
13281,1.12,"Fair","G","VS1",64.8,56,5487,6.48,6.52,4.21
267,0.7,"Premium","F","VS1",62.1,60,2792,5.71,5.65,3.53
2723,0.26,"Very Good","E","VVS2",60.8,61,564,4.12,4.13,2.51
51713,0.78,"Very Good","G","SI2",63.7,55.9,2401,5.82,5.85,3.72
23034,0.33,"Ideal","D","SI2",61.3,56,631,4.49,4.45,2.74
43175,0.54,"Premium","G","SI1",59,60,1389,5.4,5.35,3.17
19538,1.06,"Premium","G","VVS1",61.1,58,8170,6.53,6.57,4
23277,1.56,"Premium","F","SI1",60.1,60,11299,7.56,7.52,4.53
30128,0.32,"Premium","G","VS2",61.2,59,720,4.41,4.38,2.69
716,1.02,"Ideal","H","SI2",61.6,55,2856,6.49,6.43,3.98
49806,0.73,"Fair","F","SI2",53.4,65,2164,6.19,6.15,3.3
25497,2.22,"Good","I","SI2",62.7,61.2,14285,8.23,8.31,5.19
43148,0.52,"Very Good","E","SI1",62.7,57,1389,5.1,5.14,3.21
1134,0.71,"Premium","F","VS1",59.1,59,2920,5.88,5.83,3.46
30900,0.41,"Ideal","D","SI1",60.5,57,744,4.81,4.85,2.92
25770,1.71,"Premium","H","VVS2",61.4,59,14731,7.67,7.77,4.74
14117,1,"Premium","D","SI1",62.2,58,5723,6.45,6.34,3.98
19958,1.21,"Very Good","F","VS2",61.6,58,8505,6.79,6.88,4.21
6379,0.25,"Ideal","E","VVS1",61.2,57,576,4.08,4.12,2.51
13451,1.03,"Premium","H","VS1",62.5,59,5523,6.43,6.47,4.03
45498,0.52,"Very Good","F","VS2",60,61.5,1680,5.19,5.23,3.13
41149,0.53,"Ideal","H","SI1",62.3,57,1197,5.2,5.24,3.25
51375,0.7,"Good","H","VS1",63.9,58,2367,5.67,5.59,3.6
6544,1.01,"Premium","D","SI2",61.7,59,4072,6.41,6.37,3.94
17205,1.31,"Ideal","I","VS2",61.7,55,6873,7,7.1,4.35
49665,0.62,"Ideal","G","VS1",61.8,57,2141,5.47,5.5,3.39
31621,0.32,"Ideal","I","SI1",61.2,56,450,4.4,4.44,2.7
32237,0.31,"Ideal","G","VVS1",61,56,789,4.36,4.4,2.67
21776,1.05,"Ideal","E","VVS2",61.3,56,9843,6.55,6.59,4.03
25262,2,"Very Good","I","SI2",59.5,61,13892,8.16,8.18,4.86
14094,1.32,"Very Good","H","SI1",63.5,57,5717,6.88,6.92,4.38
4979,0.8,"Very Good","H","VVS1",61.9,56,3737,5.93,5.96,3.69
31157,0.41,"Good","E","SI1",63.5,57,755,4.69,4.73,2.99
33631,0.37,"Premium","G","VS2",62.8,60,833,4.59,4.55,2.87
3737,0.3,"Ideal","F","VS2",61.1,55,569,4.37,4.32,2.66
27500,2.2,"Premium","G","SI1",60.5,55,18193,8.49,8.42,5.11
5120,0.72,"Very Good","F","VVS1",62.1,55,3762,5.72,5.78,3.57
52725,0.82,"Ideal","I","VS1",61.4,57,2557,5.98,6.03,3.69
48341,0.71,"Good","G","SI2",63.8,56,1960,5.65,5.6,3.59
37347,0.31,"Ideal","D","VVS2",61.9,57,982,4.35,4.31,2.68
43426,0.35,"Fair","G","VS2",65.9,54,1415,5.57,5.53,3.66
52467,0.75,"Very Good","E","SI1",62.4,57,2517,5.79,5.85,3.63
32567,0.38,"Very Good","F","VS2",60.9,56,800,4.67,4.72,2.86
7803,1.02,"Premium","G","SI2",62.5,59,4291,6.37,6.42,4
41179,0.4,"Premium","G","VVS1",61.7,58,1200,4.71,4.69,2.9
50332,0.83,"Premium","J","SI2",59.1,60,2241,6.13,6.12,3.62
43659,0.5,"Very Good","F","VS2",59.4,59,1436,5.19,5.22,3.09
21430,1.18,"Premium","G","VVS2",59.7,58,9537,6.94,6.9,4.13
35278,0.5,"Ideal","I","SI2",62.2,53,895,5.11,5.14,3.19
26817,2.02,"Premium","I","VS2",59.6,60,16709,8.2,8.25,4.9
44093,0.51,"Good","E","VS2",59.2,62,1554,5.22,5.29,3.11
5807,1.02,"Good","D","SI2",57.5,62,3909,6.62,6.6,3.8
2681,0.77,"Very Good","D","SI1",59.9,59,3241,5.9,5.95,3.55
47617,0.55,"Ideal","F","VS1",62,55,1881,5.26,5.29,3.27
18976,1.21,"Ideal","H","VS1",62.4,53,7811,6.83,6.86,4.27
52112,0.91,"Good","F","SI2",56.9,62,2461,6.51,6.45,3.69
46476,0.53,"Ideal","E","VS2",62.8,57,1776,5.19,5.16,3.25
12516,1.01,"Premium","H","VS2",61.3,59,5260,6.45,6.41,3.94
43152,0.52,"Ideal","G","SI1",61.3,55,1389,5.2,5.24,3.2
10,0.23,"Very Good","H","VS1",59.4,61,338,4,4.05,2.39
51599,0.7,"Good","I","VVS2",63.3,55,2394,5.61,5.67,3.57
17713,0.41,"Ideal","J","VS2",62.2,54,613,4.76,4.79,2.97
