"id","person_age","person_gender","person_education","person_income","person_emp_exp","person_home_ownership","loan_amnt","loan_intent","loan_int_rate","loan_percent_income","cb_person_cred_hist_length","credit_score","previous_loan_defaults_on_file","loan_status"
"27331",29,"female","High School",63518,4,"MORTGAGE",8875,"EDUCATION",7.9,0.14,7,661,"No",1
"27332",34,"male","Master",91173,12,"MORTGAGE",20000,"HOMEIMPROVEMENT",13.06,0.22,8,555,"Yes",0
"27333",22,"male","High School",158215,0,"MORTGAGE",15000,"VENTURE",8.94,0.09,2,661,"No",0
"27334",39,"female","Bachelor",78965,14,"MORTGAGE",15000,"EDUCATION",7.9,0.19,14,656,"Yes",0
"27335",30,"male","Bachelor",168919,9,"MORTGAGE",15000,"HOMEIMPROVEMENT",16.35,0.09,5,696,"Yes",0
"27336",30,"male","Bachelor",54579,11,"OWN",8000,"MEDICAL",15.54,0.15,9,708,"No",0
"27337",26,"female","High School",81590,2,"RENT",8000,"VENTURE",7.14,0.1,2,634,"No",0
"27338",21,"male","Master",44186,1,"RENT",6000,"EDUCATION",11.86,0.14,3,657,"No",0
"27339",43,"female","Master",480854,20,"MORTGAGE",28000,"VENTURE",9.91,0.06,11,619,"No",0
"273310",27,"male","Bachelor",72951,2,"MORTGAGE",3410,"EDUCATION",10.91,0.05,7,693,"Yes",0
"273311",25,"male","Associate",103580,2,"MORTGAGE",24000,"DEBTCONSOLIDATION",16.54,0.23,2,627,"No",1
"273312",26,"female","Master",65991,1,"RENT",2400,"EDUCATION",9.32,0.04,3,600,"No",0
"273313",26,"male","Associate",55011,1,"MORTGAGE",4000,"EDUCATION",14.35,0.07,2,652,"No",0
"273314",26,"male","Bachelor",38663,3,"RENT",2464,"HOMEIMPROVEMENT",16.67,0.06,5,604,"No",1
"273315",22,"male","Master",45375,0,"RENT",10000,"DEBTCONSOLIDATION",11.01,0.22,2,668,"Yes",0
"273316",24,"male","Associate",109088,5,"MORTGAGE",15000,"MEDICAL",8.49,0.14,3,636,"Yes",0
"273317",27,"male","High School",46281,3,"RENT",1776,"MEDICAL",11.69,0.04,5,642,"No",1
"273318",25,"female","Associate",20292,0,"RENT",3000,"DEBTCONSOLIDATION",15.89,0.15,3,551,"No",1
"273319",32,"female","Bachelor",90807,9,"RENT",16000,"VENTURE",13.2,0.18,8,689,"No",0
"273320",27,"female","Master",98297,9,"RENT",7500,"HOMEIMPROVEMENT",10.25,0.08,7,676,"Yes",0
"273321",28,"male","Associate",69739,4,"RENT",20000,"MEDICAL",14.76,0.29,6,708,"No",1
"273322",34,"female","Bachelor",429091,12,"MORTGAGE",14000,"HOMEIMPROVEMENT",18.64,0.03,9,599,"No",0
"273323",26,"male","Master",145191,0,"MORTGAGE",8000,"EDUCATION",7.29,0.06,2,696,"Yes",0
"273324",28,"male","Bachelor",31334,5,"RENT",9659,"MEDICAL",15.82,0.31,9,681,"No",1
"273325",24,"female","High School",79046,4,"RENT",14000,"VENTURE",8.8,0.18,3,583,"Yes",0
"273326",37,"male","High School",109043,11,"RENT",12000,"PERSONAL",7.51,0.11,13,674,"Yes",0
"273327",23,"female","Bachelor",81590,0,"OWN",6400,"PERSONAL",11.01,0.08,3,656,"Yes",0
"273328",42,"female","Bachelor",78378,19,"MORTGAGE",30000,"MEDICAL",19.03,0.38,14,687,"No",1
"273329",26,"female","Bachelor",48791,3,"RENT",9600,"VENTURE",14.27,0.2,4,603,"Yes",0
"273330",22,"male","Bachelor",37053,0,"RENT",6500,"MEDICAL",13.85,0.18,3,692,"No",0
"273331",21,"female","Associate",58435,2,"MORTGAGE",14000,"EDUCATION",6.03,0.24,2,586,"Yes",0
"273332",25,"male","Bachelor",43983,3,"RENT",2497,"MEDICAL",11.77,0.06,4,614,"No",1
"273333",30,"female","Bachelor",67244,7,"RENT",5000,"PERSONAL",8,0.07,6,609,"Yes",0
"273334",25,"female","Associate",71997,2,"MORTGAGE",5100,"MEDICAL",8.32,0.07,3,673,"Yes",0
"273335",24,"male","Associate",54553,1,"MORTGAGE",5600,"PERSONAL",7.49,0.1,2,682,"Yes",0
"273336",23,"male","Bachelor",87489,0,"MORTGAGE",12000,"PERSONAL",16.29,0.14,2,686,"No",0
"273337",23,"male","Associate",54050,2,"RENT",9800,"EDUCATION",7.51,0.18,2,662,"No",1
"273338",22,"male","Bachelor",228727,0,"RENT",12600,"EDUCATION",6.92,0.06,4,604,"No",0
"273339",23,"male","Bachelor",60579,0,"RENT",25000,"PERSONAL",11.74,0.41,4,545,"No",1
"273340",31,"female","Associate",144922,10,"MORTGAGE",28000,"MEDICAL",8.9,0.19,8,528,"Yes",0
"273341",32,"male","High School",169170,10,"MORTGAGE",12000,"HOMEIMPROVEMENT",9.25,0.07,8,583,"Yes",0
"273342",23,"female","Master",58581,0,"MORTGAGE",9910,"EDUCATION",9.5,0.17,4,662,"Yes",0
"273343",21,"male","High School",41399,0,"RENT",5000,"PERSONAL",9.25,0.12,3,611,"No",1
"273344",30,"female","Master",101675,6,"MORTGAGE",6000,"DEBTCONSOLIDATION",11.01,0.06,6,492,"Yes",0
"273345",29,"female","Bachelor",111694,6,"MORTGAGE",25000,"EDUCATION",19.42,0.22,8,611,"No",0
"273346",25,"female","Master",240907,0,"OWN",24000,"VENTURE",12.18,0.1,4,530,"Yes",0
"273347",27,"male","Associate",80163,6,"RENT",8000,"EDUCATION",14.79,0.1,7,625,"Yes",0
"273348",22,"male","Bachelor",58481,1,"RENT",1000,"EDUCATION",7.29,0.02,4,638,"Yes",0
"273349",26,"female","Associate",62605,1,"RENT",5000,"EDUCATION",8.94,0.08,2,628,"No",1
"273350",30,"male","Bachelor",74954,8,"RENT",6000,"VENTURE",15.96,0.08,9,693,"Yes",0
"273351",21,"female","Associate",138740,0,"MORTGAGE",20000,"DEBTCONSOLIDATION",10.83,0.14,4,602,"Yes",0
"273352",23,"male","High School",31167,4,"RENT",4025,"VENTURE",9.91,0.13,4,589,"Yes",0
"273353",29,"female","Associate",91120,9,"RENT",15000,"PERSONAL",7.88,0.16,9,626,"No",0
"273354",25,"male","High School",46839,2,"RENT",6892,"EDUCATION",7.6,0.15,3,551,"Yes",0
"273355",29,"female","High School",162640,9,"MORTGAGE",10671,"VENTURE",11.01,0.07,7,681,"Yes",0
"273356",26,"male","Bachelor",67165,1,"RENT",4000,"EDUCATION",8.47,0.06,4,560,"Yes",0
"273357",28,"female","Master",87415,10,"MORTGAGE",28000,"EDUCATION",15.96,0.32,10,549,"Yes",0
"273358",30,"female","Associate",76237,11,"MORTGAGE",3200,"PERSONAL",11.01,0.04,8,669,"Yes",0
"273359",33,"male","High School",43121,8,"RENT",11160,"MEDICAL",8.65,0.26,11,689,"No",1
"273360",23,"female","Master",29941,1,"RENT",9250,"VENTURE",6.54,0.31,3,650,"No",1
