"num","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
10843,1.06,"Premium","H","SI1",61.6,59,4872,6.55,6.54,4.03
49651,0.7,"Premium","F","SI2",59.6,60,2139,5.77,5.71,3.42
7300,1,"Premium","E","SI2",58.5,61,4202,6.52,6.48,3.8
36593,0.45,"Very Good","I","VVS1",63,56,947,4.88,4.9,3.08
37447,0.5,"Very Good","H","SI1",63.1,55,984,5.09,5.02,3.19
43982,0.32,"Ideal","J","VS2",62.1,54,393,4.38,4.44,2.74
922,0.92,"Very Good","J","SI2",58.7,61,2880,6.34,6.43,3.75
8089,1.01,"Good","F","SI1",64.2,58,4339,6.24,6.29,4.02
50714,0.53,"Ideal","G","IF",60.6,56,2293,5.27,5.33,3.21
12195,1.08,"Very Good","E","SI1",63.1,59,5189,6.53,6.49,4.11
21536,0.91,"Ideal","E","VVS1",61.7,56,9636,6.18,6.23,3.83
51187,0.79,"Very Good","H","SI2",63.2,55,2348,5.93,5.9,3.74
49383,0.51,"Very Good","G","IF",62.6,56,2102,5.09,5.13,3.2
35962,0.31,"Ideal","J","VVS2",60.3,60,476,4.4,4.45,2.67
26384,1.3,"Ideal","E","IF",62.3,54,15874,6.97,7.03,4.36
50273,0.7,"Very Good","E","SI1",62.8,56,2239,5.69,5.72,3.58
35302,0.3,"Very Good","H","VS2",61.1,61,473,4.31,4.33,2.64
36222,0.36,"Premium","D","VS2",60.3,58,933,4.66,4.63,2.8
17605,1.23,"Premium","H","VS2",62.9,57,7089,6.84,6.77,4.28
34227,0.4,"Premium","H","SI1",62.7,58,855,4.69,4.65,2.93
46292,0.3,"Good","G","VS2",63.5,54,526,4.25,4.28,2.71
37599,0.23,"Very Good","E","VVS2",59,63,485,3.98,4.05,2.37
11473,0.9,"Ideal","H","VS1",60.9,56,5013,6.25,6.27,3.81
50384,0.7,"Premium","H","VS2",61,59,2251,5.72,5.65,3.47
43462,0.51,"Very Good","F","VS2",63.2,58,1417,5.07,5.05,3.2
1899,0.75,"Good","D","SI1",63.6,58,3078,5.65,5.77,3.63
5440,0.93,"Ideal","F","SI2",59.5,57,3828,6.37,6.33,3.78
19956,1.21,"Premium","G","VS2",61,58,8504,6.88,6.82,4.18
