"num","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
42516,0.41,"Ideal","F","VVS2",61.4,57,1323,4.77,4.81,2.94
27375,0.32,"Ideal","G","SI1",61.9,55,647,4.39,4.43,2.73
15617,1.02,"Ideal","H","SI1",61.8,57,6264,6.43,6.46,3.98
52056,1.02,"Premium","F","I1",59.6,59,2452,6.51,6.45,3.87
46344,0.5,"Very Good","D","VS2",63.4,57,1758,5.09,5.04,3.21
30502,0.31,"Ideal","D","SI1",62.6,57,732,4.33,4.3,2.7
651,0.71,"Ideal","G","VVS2",60.7,57,2843,5.81,5.78,3.52
10344,1.11,"Very Good","E","SI2",62,58,4769,6.61,6.68,4.12
38462,0.38,"Very Good","F","VVS1",63.8,58,1030,4.58,4.61,2.93
30262,0.4,"Ideal","H","VS2",61.4,55,725,4.76,4.78,2.93
12650,1.15,"Ideal","H","SI1",61.9,55,5296,6.74,6.77,4.18
1647,0.71,"Ideal","F","VVS2",62.6,56,3018,5.7,5.65,3.55
40833,0.4,"Ideal","G","VVS2",61.5,57,1172,4.74,4.76,2.92
49109,0.98,"Premium","I","I1",59.6,60,2064,6.43,6.3,3.79
25550,1.85,"Ideal","I","VVS2",62.4,57,14375,7.91,7.86,4.92
38008,0.4,"Premium","F","VVS2",59.4,59,1008,4.85,4.78,2.86
935,1.03,"Fair","I","SI2",65.3,55,2884,6.32,6.27,4.11
427,0.91,"Premium","G","SI2",59.8,58,2813,6.3,6.29,3.77
49516,0.75,"Premium","I","SI1",62.5,58,2122,5.77,5.82,3.62
1076,0.31,"Good","H","SI1",63.6,57,558,4.31,4.28,2.73
49599,0.71,"Very Good","G","SI1",63.2,58,2137,5.58,5.68,3.56
22702,0.3,"Fair","E","SI1",64.5,49,630,4.28,4.25,2.75
24312,2,"Good","I","SI1",63.9,57,12554,8.01,7.91,5.09
7405,0.33,"Very Good","G","VS2",62.6,56,579,4.38,4.41,2.75
39997,0.41,"Ideal","F","VS2",61.8,56,1107,4.79,4.76,2.95
33208,0.4,"Ideal","J","SI1",61.2,56,820,4.77,4.81,2.93
29320,0.31,"Ideal","H","VS1",62.4,55,698,4.36,4.33,2.71
15172,1.29,"Ideal","J","SI1",61.5,57,6097,7,7.06,4.32
20889,1.52,"Premium","I","VS2",62.6,59,9108,7.34,7.19,4.55
17037,1.24,"Ideal","D","SI1",61.9,56,6805,6.9,6.87,4.26
16880,1.01,"Ideal","G","VS2",61,56,6734,6.47,6.51,3.96
28385,0.33,"Ideal","I","VS1",61.6,57,668,4.46,4.41,2.73
41508,0.57,"Very Good","F","SI2",60.1,56,1235,5.4,5.42,3.25
5731,0.9,"Very Good","H","VS2",60.8,58,3890,6.18,6.22,3.77
11631,1.13,"Ideal","H","SI1",62,57,5050,6.73,6.66,4.15
33424,0.32,"Ideal","H","VVS2",61.8,55,828,4.42,4.38,2.72
18687,1.02,"Premium","D","VS2",62.5,58,7643,6.4,6.37,3.99
46876,0.53,"Ideal","E","VS2",61.4,56,1813,5.25,5.18,3.2
18872,1.64,"Very Good","J","SI1",62.6,59,7739,7.45,7.51,4.68
23274,1.5,"Good","G","VS2",59,58,11294,7.41,7.45,4.38
52165,0.76,"Ideal","I","SI1",62.3,57,2474,5.81,5.87,3.64
40015,0.37,"Very Good","D","VVS1",62.3,54,1108,4.57,4.65,2.87
33011,0.31,"Good","E","IF",64.2,60,813,4.22,4.28,2.73
24874,1.55,"Ideal","E","SI1",61.5,56,13291,7.4,7.36,4.54
15350,1,"Good","E","VS2",57.4,58,6160,6.61,6.57,3.78
52047,0.73,"Ideal","I","VVS2",60.1,56,2451,5.88,5.86,3.53
26895,2.18,"Very Good","G","SI2",63.1,58,16878,8.29,8.23,5.21
46293,0.3,"Very Good","G","VS2",61.4,54,526,4.31,4.36,2.66
51188,0.7,"Premium","F","SI1",62.8,59,2348,5.66,5.59,3.53
43673,0.5,"Very Good","D","SI1",58.9,61,1436,5.16,5.19,3.05
20666,1.51,"Good","I","VS2",62.2,59,8951,7.19,7.3,4.51
51600,0.7,"Good","E","VS2",64.2,60,2394,5.58,5.64,3.6
40388,0.42,"Ideal","D","VS1",61.8,56,1132,4.82,4.86,2.99
30505,0.31,"Premium","D","SI1",61.7,59,732,4.35,4.31,2.67
22172,1.52,"Ideal","I","VS1",62.9,60,10214,7.31,7.27,4.59
17280,1.31,"Premium","I","VS2",62.4,61,6921,6.98,6.9,4.33
33439,0.32,"Premium","G","VS1",61,59,828,4.43,4.39,2.69
7217,1.01,"Premium","H","SI1",61.2,59,4191,6.45,6.4,3.93
22352,0.31,"Ideal","H","VS2",62.2,55,628,4.39,4.36,2.72
7953,1.01,"Good","H","SI1",60.3,64,4320,6.52,6.49,3.92
40649,0.54,"Premium","F","SI2",59.6,60,1154,5.25,5.28,3.14
23159,1.3,"Ideal","G","VVS2",62,57,11175,7.03,6.96,4.34
45060,0.59,"Premium","E","VS2",59.1,61,1641,5.61,5.53,3.29
37694,0.35,"Ideal","F","VVS1",60.6,57,994,4.57,4.6,2.78
25477,1.85,"Ideal","I","VVS2",62.4,57,14245,7.91,7.86,4.92
20947,1.05,"Ideal","E","VS1",62.1,56,9160,6.57,6.48,4.05
32231,0.31,"Ideal","G","VVS1",62.1,55,789,4.33,4.36,2.7
13174,1.31,"Premium","J","SI1",59.4,60,5446,7.06,7.12,4.21
32477,0.34,"Very Good","F","VS1",61.1,60,795,4.46,4.51,2.74
1070,0.31,"Premium","I","VS2",61.1,58,558,4.38,4.36,2.67
2180,0.75,"Ideal","E","VS2",60.2,57,3136,5.93,5.9,3.56
49373,0.81,"Ideal","J","SI2",62.2,57,2100,5.95,5.92,3.69
6808,0.9,"Good","D","SI1",64.4,60,4117,5.95,6,3.85
42802,0.4,"Ideal","F","VVS2",61.8,55,1351,4.71,4.74,2.92
27139,1.67,"Ideal","F","VS2",61.8,57,17351,7.62,7.58,4.7
14252,1.1,"Premium","E","SI1",62.9,58,5773,6.62,6.55,4.14
3632,0.71,"Ideal","G","VS1",61.7,57,3431,5.7,5.75,3.53
19715,1.51,"Ideal","H","SI1",61.9,57,8287,7.37,7.32,4.55
26595,1.74,"Ideal","G","VS2",62.9,57,16316,7.68,7.64,4.82
15522,1.02,"Premium","F","VS2",62.7,59,6220,6.41,6.44,4.03
7153,1.04,"Very Good","F","SI2",62.3,58,4181,6.44,6.5,4.03
37662,0.42,"Premium","F","SI1",62.7,55,992,4.83,4.8,3.02
19232,1.05,"Very Good","E","VS1",63.1,59,7969,6.49,6.45,4.08
672,0.84,"Very Good","H","SI1",61.2,57,2847,6.1,6.12,3.74
5737,1.1,"Fair","E","SI1",65.5,57,3891,6.45,6.37,4.2
29276,0.31,"Premium","I","VVS2",62.1,58,698,4.33,4.3,2.68
20362,1.09,"Ideal","G","VVS2",61.8,56,8753,6.58,6.62,4.08
53862,0.71,"Premium","D","SI1",60.5,59,2743,5.81,5.79,3.51
42777,0.5,"Premium","E","SI1",62.4,61,1348,5.1,4.98,3.15
19200,1,"Very Good","G","VVS2",62.7,57,7950,6.32,6.37,3.98
18024,1.5,"Good","H","SI2",64.2,56,7291,7.26,7.2,4.64
47282,0.3,"Very Good","J","VS1",61.9,56,394,4.28,4.32,2.66
12045,0.4,"Good","G","SI2",63.4,59,596,4.64,4.66,2.95
8776,1,"Good","H","SI1",57.9,54,4469,6.68,6.62,3.85
47877,0.52,"Ideal","G","VVS2",62.1,57,1911,5.13,5.17,3.2
9693,0.32,"Ideal","D","SI1",62,57,589,4.37,4.4,2.72
26839,2.01,"Very Good","G","SI1",63.2,56,16742,8.04,7.96,5.06
17443,1.56,"Very Good","J","SI2",58.3,63,6996,7.64,7.7,4.47
2873,1,"Very Good","I","SI2",62.4,63,3276,6.44,6.35,3.99
51012,0.74,"Ideal","H","SI2",62.1,57,2327,5.75,5.81,3.59
24581,2.48,"Ideal","I","SI2",62.3,57,12883,8.64,8.58,5.36
53133,0.72,"Ideal","D","SI2",61.8,56,2618,5.75,5.78,3.56
40787,0.4,"Ideal","F","VVS1",62.3,54,1168,4.75,4.78,2.97
52053,0.72,"Ideal","I","VVS2",61.2,59,2452,5.75,5.79,3.53
30834,0.33,"Premium","H","VS1",59.7,59,743,4.53,4.52,2.7
18793,1.23,"Ideal","H","VS2",61.7,56,7687,6.92,6.88,4.26
32735,0.31,"Premium","F","VS2",62.9,58,802,4.31,4.27,2.7
12435,1.04,"Ideal","J","VVS2",61.1,58,5242,6.49,6.57,3.99
1878,0.71,"Ideal","E","VS2",62.2,57,3073,5.69,5.73,3.55
47830,0.63,"Premium","F","VS2",61.5,59,1905,5.53,5.5,3.39
39838,0.51,"Very Good","E","SI2",60.3,56,1098,5.19,5.22,3.14
8745,0.9,"Premium","E","SI1",60.8,59,4463,6.19,6.24,3.78
339,0.71,"Premium","G","VS2",59.9,60,2803,5.81,5.77,3.47
7188,0.96,"Very Good","I","VS2",59.6,59,4187,6.36,6.42,3.81
27102,2.02,"Ideal","H","SI1",62.5,54,17245,8.07,8.1,5.05
34328,0.48,"Ideal","J","VS1",62.2,54,861,5.01,5.06,3.13
25639,2.04,"Very Good","I","SI2",60.9,57,14527,8.14,8.19,4.97
46881,0.53,"Ideal","E","VS2",62.1,56,1813,5.2,5.17,3.22
51910,0.7,"Premium","H","VS1",60.2,56,2435,5.78,5.71,3.46
11103,1.19,"Good","J","VS1",63.6,54,4931,6.78,6.74,4.3
19443,1.06,"Ideal","G","VS1",61.3,57,8093,6.53,6.56,4.01
139,0.76,"Ideal","H","SI1",61.2,57,2765,5.88,5.91,3.61
52449,0.59,"Premium","D","VVS2",62.6,58,2515,5.34,5.4,3.36
26902,2.03,"Ideal","H","SI1",64.4,54,16900,7.97,7.92,5.12
8694,1.02,"Premium","I","VS2",62,58,4459,6.44,6.47,4
24656,1.7,"Ideal","I","VS1",61.9,55,12996,7.65,7.72,4.75
31976,0.26,"Very Good","F","VS2",58.7,59,453,4.14,4.27,2.47
4986,1.19,"Very Good","G","SI2",63.4,56,3739,6.69,6.56,4.2
48116,0.52,"Ideal","G","VVS1",61.9,54.4,1936,5.15,5.18,3.2
34412,0.3,"Ideal","G","IF",61.9,57,863,4.27,4.29,2.65
43855,0.55,"Premium","G","VS2",59.6,59,1448,5.32,5.36,3.18
43337,0.55,"Good","E","SI1",63.1,58,1406,5.2,5.23,3.29
45551,0.51,"Ideal","D","SI1",61.7,55,1687,5.16,5.11,3.17
38374,0.51,"Ideal","J","SI1",62.5,58,1023,5.11,5.13,3.2
21489,1.51,"Good","I","VS1",63.6,57,9581,7.14,7.21,4.56
50417,0.71,"Ideal","H","SI2",59.4,57,2258,5.87,5.81,3.47
36682,0.4,"Very Good","F","VS1",62,56,951,4.71,4.73,2.92
25969,2.03,"Very Good","I","SI1",62.9,57,15153,8.02,8.06,5.06
44636,0.57,"Very Good","G","VS2",62.8,57,1608,5.23,5.28,3.3
19361,0.27,"Ideal","E","VVS2",61.8,57,622,4.12,4.16,2.56
355,0.74,"Premium","F","VS2",61.9,56,2805,5.8,5.77,3.58
2792,0.78,"Very Good","D","SI1",62.5,58,3258,5.86,5.89,3.67
46286,0.59,"Ideal","E","VS2",61.4,56,1755,5.33,5.42,3.3
7027,0.9,"Premium","F","SI1",59.9,59,4158,6.29,6.26,3.76
44683,0.5,"Premium","D","SI1",61.1,59,1610,5.08,5.04,3.09
2928,1.03,"Very Good","H","SI2",63.1,56,3288,6.43,6.38,4.04
28964,0.31,"Very Good","H","SI1",61.7,59,435,4.36,4.39,2.7
14200,1,"Very Good","F","VS2",62.7,56,5759,6.29,6.34,3.96
25072,1.21,"Ideal","E","VVS1",62,55,13595,6.8,6.88,4.24
4494,1,"Ideal","I","SI2",58.8,55,3629,6.53,6.46,3.82
6318,0.94,"Premium","E","SI2",62.4,58,4027,6.33,6.26,3.93
6107,0.9,"Good","G","VS1",64.5,57,3977,6.01,6.08,3.9
24419,1.64,"Premium","F","SI1",62.8,59,12670,7.53,7.51,4.72
42665,0.62,"Good","E","SI2",59.4,65,1333,5.54,5.48,3.27
4294,0.91,"Ideal","F","SI2",60.9,57,3588,6.27,6.3,3.83
28955,0.25,"Very Good","F","VS1",61.2,59,435,4.02,4.05,2.47
48406,0.52,"Ideal","G","VVS1",61,57,1969,5.18,5.2,3.17
25697,0.33,"Ideal","E","SI1",59.6,57,644,4.53,4.49,2.69
34308,0.29,"Ideal","E","VVS2",62,55,858,4.27,4.25,2.64
3828,0.7,"Ideal","D","SI1",61.8,55,3471,5.72,5.74,3.54
30166,0.4,"Good","D","SI1",63.1,57,720,4.69,4.73,2.97
47030,0.57,"Ideal","E","VS2",61.6,56,1819,5.38,5.34,3.3
37456,0.35,"Ideal","E","VS2",62.4,57,984,4.55,4.52,2.83
44616,0.53,"Premium","G","VS2",60.7,59,1607,5.24,5.18,3.16
20273,1.52,"Premium","I","SI1",60.5,60,8694,7.4,7.48,4.5
44021,0.51,"Ideal","E","SI1",61.5,55,1546,5.18,5.16,3.18
51070,0.54,"Ideal","F","VS2",61.3,57,2333,5.29,5.24,3.23
34828,0.3,"Ideal","H","VVS1",63,54,878,4.3,4.27,2.7
53865,0.7,"Very Good","F","VS2",62.8,57,2744,5.64,5.69,3.56
30891,0.42,"Ideal","E","SI1",62.1,55,743,4.79,4.81,2.98
31404,0.3,"Ideal","G","VVS1",61.9,57,764,4.28,4.31,2.66
23689,1.51,"Premium","G","VS2",58.1,61,11746,7.57,7.54,4.39
21947,1.01,"Very Good","F","VVS1",62.9,57,10019,6.35,6.41,4.01
5524,1.01,"Very Good","G","SI2",61.9,55,3852,6.43,6.46,3.99
41482,0.39,"Premium","F","VVS1",59.7,58,1232,4.73,4.75,2.83
41064,0.49,"Ideal","H","SI2",60.7,56,1190,5.13,5.18,3.13
17591,1.29,"Ideal","G","VS2",62.9,57,7080,6.91,6.89,4.34
39311,0.55,"Premium","G","SI2",61.2,59,1069,5.3,5.26,3.23
18247,1.01,"Very Good","G","VVS1",63.1,59,7412,6.42,6.33,4.02
37679,0.42,"Ideal","H","VS2",62.9,56,992,4.79,4.72,2.99
16315,1.01,"Good","G","VS1",63.7,56,6529,6.37,6.29,4.03
38631,0.31,"Premium","I","VS1",62.3,59,489,4.29,4.35,2.69
29869,0.3,"Ideal","D","VS2",61.8,55,710,4.32,4.36,2.68
41637,0.32,"Ideal","J","VS2",62.2,57,504,4.38,4.36,2.72
47636,0.51,"Ideal","D","VS2",61.8,55,1882,5.18,5.15,3.19
52761,0.62,"Ideal","D","VS1",61,57,2562,5.51,5.54,3.37
41717,0.47,"Good","F","VS1",59,60.2,1243,5.04,5.09,2.99
32613,0.33,"Ideal","I","SI1",62,53.5,456,4.46,4.5,2.78
22043,0.31,"Very Good","I","VS1",63.2,56,628,4.33,4.28,2.72
42161,0.38,"Very Good","F","IF",60.2,58,1284,4.73,4.7,2.84
47273,0.5,"Ideal","H","IF",61.1,58,1844,5.1,5.14,3.13
39585,0.37,"Ideal","E","VVS2",61.8,54,1082,4.63,4.6,2.85
6502,0.97,"Very Good","F","SI2",59.9,59,4063,6.38,6.45,3.84
14750,1.5,"Premium","H","SI2",60.2,59,5937,7.43,7.35,4.45
28423,0.42,"Very Good","H","SI1",61.5,54,670,4.87,4.89,3
19341,1.02,"Ideal","G","VVS2",61.1,57,8042,6.51,6.48,3.97
18276,1.01,"Very Good","D","VS2",61.9,59,7422,6.35,6.44,3.96
48513,0.6,"Very Good","D","VS2",61.5,59,1984,5.4,5.43,3.33
25799,1.5,"Premium","E","VS2",61.8,59,14790,7.31,7.38,4.54
41805,0.53,"Very Good","F","SI1",59.6,58,1250,5.28,5.33,3.16
26302,1.55,"Premium","F","VS1",61.6,56,15801,7.45,7.38,4.57
36771,0.34,"Ideal","G","VVS1",62.1,57,956,4.47,4.45,2.77
23996,1.63,"Ideal","H","VS2",62.4,55,12155,7.53,7.57,4.71
34,0.23,"Very Good","E","VS1",59.5,58,402,4.01,4.06,2.4
37691,0.43,"Very Good","H","VS2",63.4,55,994,4.82,4.86,3.07
33738,0.3,"Very Good","E","VVS2",62.9,55,840,4.25,4.27,2.68
29443,0.38,"Very Good","D","SI1",61.3,57,701,4.67,4.7,2.87
35003,0.42,"Very Good","G","SI1",63.1,56,882,4.79,4.75,3.01
27232,1.7,"Good","F","VS2",62.2,56,17597,7.54,7.6,4.71
23585,1.24,"Ideal","G","VVS2",61.1,56,11601,6.94,6.97,4.25
37182,0.32,"Premium","D","VS2",61.7,58,972,4.38,4.34,2.69
16157,1.28,"Ideal","F","SI2",62.3,55,6458,6.96,6.91,4.32
6922,0.91,"Premium","E","SI1",62.4,57,4138,6.23,6.11,3.85
37285,0.3,"Good","F","VS2",63.5,55,484,4.25,4.28,2.71
40895,0.42,"Ideal","E","VS1",60.6,57,1177,4.84,4.86,2.94
3399,0.3,"Ideal","F","VS2",62.6,54,567,4.3,4.33,2.7
6017,0.91,"Premium","H","VS2",62.3,57,3963,6.22,6.13,3.85
13755,1,"Good","F","VS2",64.2,58,5606,6.32,6.26,4.04
8613,0.9,"Premium","E","SI1",62.7,60,4443,6.13,6.03,3.81
41895,0.56,"Very Good","E","SI2",63.5,57,1259,5.24,5.21,3.32
38370,0.53,"Very Good","J","VS2",60.9,59,1023,5.2,5.27,3.19
4191,0.7,"Good","D","VS2",59.9,59,3561,5.69,5.73,3.42
49408,0.7,"Very Good","H","SI1",63.5,57,2106,5.59,5.66,3.59
12582,1.07,"Ideal","E","SI2",62.4,60,5280,6.49,6.52,4.06
33000,0.38,"Ideal","E","SI2",61.2,57,812,4.71,4.67,2.87
19531,1.3,"Premium","F","SI1",61.4,59,8164,7.01,6.97,4.29
46264,0.57,"Ideal","D","SI1",62.4,56,1754,5.29,5.32,3.31
30796,0.41,"Ideal","I","VS2",62,57,742,4.74,4.77,2.95
12939,1.15,"Premium","G","SI1",63,59,5384,6.68,6.63,4.19
44123,0.5,"Very Good","E","VS2",62.8,60,1559,5.02,5.08,3.17
35495,0.41,"Good","F","SI1",63.7,58,904,4.74,4.71,3.01
7193,0.91,"Very Good","E","SI1",63.7,59,4188,6.13,6.17,3.92
40269,0.33,"Very Good","G","SI1",61.1,59,492,4.42,4.45,2.71
6131,1.21,"Premium","J","SI2",60.8,58,3984,6.93,6.88,4.19
2318,0.7,"Ideal","E","VS1",62.6,55,3167,5.66,5.69,3.55
11638,1.01,"Ideal","D","SI2",61.6,57,5051,6.32,6.45,3.93
6558,0.99,"Premium","F","SI2",60.6,61,4075,6.45,6.38,3.89
31908,0.3,"Premium","G","VS1",61.9,59,776,4.32,4.28,2.66
27321,2.01,"Premium","H","SI1",62.7,59,17849,8.08,8.03,5.05
40815,0.39,"Ideal","D","VS1",61.9,57,1170,4.71,4.69,2.91
18400,1.26,"Very Good","H","SI1",62.5,56,7477,6.88,6.93,4.31
10398,0.31,"Premium","G","SI1",62.6,58,593,4.34,4.29,2.7
11650,1.01,"Good","D","SI1",63.9,61,5055,6.28,6.31,4.02
19489,1.2,"Very Good","G","VS2",62.2,58,8124,6.75,6.79,4.21
46131,0.65,"Good","I","VS1",61.1,61.7,1744,5.55,5.59,3.4
34357,0.3,"Very Good","D","VS1",62,55,863,4.31,4.35,2.68
15571,1,"Very Good","E","VS2",62.9,59,6245,6.27,6.38,3.98
26987,1.7,"Very Good","G","VVS2",61.5,60,17073,7.59,7.64,4.68
19475,1.5,"Good","H","SI1",64.9,57,8112,7.08,7.15,4.62
16455,1.21,"Premium","H","SI1",59.8,58,6573,6.95,6.9,4.14
43057,0.59,"Ideal","G","SI1",63.4,56,1376,5.36,5.29,3.38
20303,1.01,"Fair","D","VVS2",65.4,57,8716,6.2,6.16,4.04
26674,0.25,"Ideal","H","VS1",61.9,54,426,4.07,4.1,2.53
15981,1,"Fair","F","VS1",65.3,59,6397,6.25,6.21,4.07
23653,1.5,"Very Good","E","SI1",62,57,11690,7.25,7.33,4.52
38539,0.34,"Premium","D","VS2",59.3,58,1033,4.55,4.52,2.69
