"id","person_age","person_gender","person_education","person_income","person_emp_exp","person_home_ownership","loan_amnt","loan_intent","loan_int_rate","loan_percent_income","cb_person_cred_hist_length","credit_score","previous_loan_defaults_on_file","loan_status"
"15191",32,"male","Master",91028,14,"RENT",12800,"VENTURE",14.74,0.14,6,698,"Yes",0
"15192",24,"male","High School",173889,2,"MORTGAGE",14700,"HOMEIMPROVEMENT",7.66,0.08,3,595,"No",0
"15193",24,"male","High School",37786,0,"MORTGAGE",13500,"EDUCATION",13.43,0.36,4,612,"No",1
"15194",23,"male","Bachelor",36680,0,"RENT",5000,"DEBTCONSOLIDATION",7.66,0.14,4,696,"Yes",0
"15195",28,"female","Master",79450,6,"MORTGAGE",2500,"VENTURE",5.99,0.03,7,681,"Yes",0
"15196",37,"male","High School",36758,13,"MORTGAGE",8000,"HOMEIMPROVEMENT",11.01,0.22,17,646,"No",0
"15197",33,"female","High School",103103,7,"MORTGAGE",14000,"PERSONAL",8.77,0.14,5,540,"Yes",0
"15198",27,"female","High School",48625,7,"RENT",12000,"MEDICAL",10.37,0.25,9,610,"Yes",0
"15199",27,"female","Associate",34668,4,"RENT",6000,"VENTURE",13.53,0.17,6,670,"Yes",0
"151910",27,"female","Bachelor",42849,6,"RENT",11500,"DEBTCONSOLIDATION",15.92,0.27,5,681,"No",1
"151911",24,"female","High School",65845,6,"RENT",12000,"EDUCATION",8.49,0.18,4,575,"Yes",0
"151912",30,"female","Bachelor",91370,8,"MORTGAGE",18750,"VENTURE",7.9,0.21,6,662,"No",0
"151913",27,"female","Bachelor",92395,5,"MORTGAGE",13488,"VENTURE",9.47,0.15,6,553,"Yes",0
"151914",28,"female","High School",90810,7,"RENT",8000,"EDUCATION",7.9,0.09,6,665,"Yes",0
"151915",23,"female","Bachelor",24353,1,"RENT",2000,"MEDICAL",11.79,0.08,4,691,"Yes",0
"151916",25,"male","Bachelor",37779,3,"RENT",10000,"DEBTCONSOLIDATION",10.37,0.26,3,635,"No",1
"151917",28,"male","High School",96601,4,"MORTGAGE",16425,"PERSONAL",7.9,0.17,8,628,"Yes",0
"151918",30,"male","Bachelor",118325,9,"MORTGAGE",5000,"HOMEIMPROVEMENT",7.14,0.04,5,717,"Yes",0
"151919",25,"female","High School",97093,5,"MORTGAGE",10000,"VENTURE",11.01,0.1,4,606,"Yes",0
"151920",25,"male","Bachelor",122784,1,"MORTGAGE",6634,"MEDICAL",10.89,0.05,3,630,"Yes",0
"151921",23,"female","Associate",78714,1,"MORTGAGE",15000,"PERSONAL",7.88,0.19,3,606,"Yes",0
"151922",34,"male","Master",61412,13,"RENT",5400,"PERSONAL",13.16,0.09,8,622,"No",0
"151923",24,"female","Bachelor",66717,3,"MORTGAGE",5000,"VENTURE",7.88,0.07,4,562,"Yes",0
"151924",22,"male","High School",35919,0,"RENT",4200,"HOMEIMPROVEMENT",11.01,0.12,2,637,"No",1
"151925",31,"female","Associate",53436,11,"RENT",10000,"MEDICAL",10.74,0.19,5,691,"No",0
