"id","person_age","person_gender","person_education","person_income","person_emp_exp","person_home_ownership","loan_amnt","loan_intent","loan_int_rate","loan_percent_income","cb_person_cred_hist_length","credit_score","previous_loan_defaults_on_file","loan_status"
"17771",30,"male","Bachelor",74061,6,"RENT",9000,"PERSONAL",11.49,0.12,5,681,"No",0
"17772",40,"male","Bachelor",55062,14,"MORTGAGE",3600,"HOMEIMPROVEMENT",6.62,0.07,13,679,"Yes",0
"17773",26,"male","High School",61150,4,"MORTGAGE",10000,"EDUCATION",7.74,0.16,2,644,"Yes",0
"17774",25,"male","Associate",62682,0,"RENT",1325,"VENTURE",14.79,0.02,3,669,"Yes",0
"17775",24,"male","High School",85436,1,"MORTGAGE",25000,"PERSONAL",10.77,0.29,2,674,"Yes",0
"17776",22,"male","Master",29987,0,"RENT",5059,"HOMEIMPROVEMENT",10.23,0.17,3,684,"No",1
"17777",33,"male","Associate",140218,12,"MORTGAGE",15000,"EDUCATION",12.84,0.11,7,685,"Yes",0
"17778",27,"female","Associate",126946,5,"MORTGAGE",10000,"VENTURE",7.32,0.08,3,697,"Yes",0
"17779",34,"male","Bachelor",128188,10,"RENT",3000,"EDUCATION",11.12,0.02,7,659,"Yes",0
"177710",30,"female","Bachelor",29985,6,"OWN",6000,"VENTURE",11.01,0.2,9,584,"No",0
"177711",32,"male","Bachelor",101522,6,"RENT",14400,"PERSONAL",11.99,0.14,6,655,"No",0
"177712",41,"female","Associate",111144,21,"MORTGAGE",12000,"HOMEIMPROVEMENT",7.66,0.11,14,626,"No",0
"177713",24,"male","Bachelor",53854,0,"MORTGAGE",11200,"PERSONAL",10.99,0.21,4,620,"No",0
"177714",33,"male","Associate",78973,11,"MORTGAGE",16800,"HOMEIMPROVEMENT",9.76,0.21,6,579,"Yes",0
"177715",23,"male","Bachelor",130664,1,"RENT",5000,"EDUCATION",7.66,0.04,4,488,"Yes",0
"177716",37,"male","Associate",42726,12,"RENT",11079,"MEDICAL",7.04,0.26,14,614,"No",1
"177717",61,"male","High School",94360,39,"MORTGAGE",8525,"PERSONAL",14.54,0.09,27,673,"No",1
"177718",22,"male","Associate",47896,3,"OWN",1000,"MEDICAL",11.01,0.02,3,682,"No",0
"177719",22,"male","High School",24389,0,"RENT",7750,"MEDICAL",14.83,0.32,4,686,"No",1
"177720",23,"female","High School",86811,0,"RENT",30000,"DEBTCONSOLIDATION",11.01,0.35,4,602,"No",1
"177721",59,"female","Bachelor",66850,38,"MORTGAGE",1000,"PERSONAL",10.59,0.01,29,693,"No",0
"177722",30,"male","Master",97050,7,"RENT",8900,"MEDICAL",6.17,0.09,10,709,"No",0
