"id","person_age","person_gender","person_education","person_income","person_emp_exp","person_home_ownership","loan_amnt","loan_intent","loan_int_rate","loan_percent_income","cb_person_cred_hist_length","credit_score","previous_loan_defaults_on_file","loan_status"
"30101",26,"male","Master",245761,3,"MORTGAGE",15250,"MEDICAL",14.35,0.06,3,680,"No",0
"30102",25,"female","High School",49473,0,"RENT",10000,"EDUCATION",12.18,0.2,3,559,"No",0
"30103",24,"female","Bachelor",55085,2,"RENT",7800,"PERSONAL",7.51,0.14,3,610,"Yes",0
"30104",36,"male","Bachelor",87385,11,"RENT",25000,"MEDICAL",17.57,0.29,10,678,"No",1
"30105",25,"female","Bachelor",31516,0,"MORTGAGE",1000,"MEDICAL",11.08,0.03,5,587,"Yes",0
"30106",22,"female","Associate",198863,2,"MORTGAGE",24000,"VENTURE",15.62,0.12,2,674,"Yes",0
"30107",29,"female","Bachelor",33273,6,"RENT",5000,"PERSONAL",6.76,0.15,9,674,"Yes",0
"30108",35,"male","Bachelor",36921,11,"RENT",6475,"EDUCATION",5.42,0.18,7,642,"No",0
"30109",23,"male","High School",78915,0,"MORTGAGE",7000,"MEDICAL",6.99,0.09,4,677,"Yes",0
"301010",27,"male","Master",53787,1,"MORTGAGE",6400,"EDUCATION",13.85,0.12,7,645,"Yes",0
"301011",30,"female","Master",62232,9,"RENT",4869,"MEDICAL",12.16,0.08,10,648,"Yes",0
"301012",27,"female","Master",181297,7,"MORTGAGE",18000,"MEDICAL",11.01,0.1,5,704,"Yes",0
"301013",34,"female","Bachelor",78965,11,"RENT",6000,"DEBTCONSOLIDATION",11.71,0.08,8,619,"Yes",0
"301014",24,"female","Master",54819,3,"MORTGAGE",4200,"HOMEIMPROVEMENT",7.14,0.08,2,678,"No",0
"301015",36,"female","High School",89755,9,"MORTGAGE",10250,"EDUCATION",11.48,0.11,15,644,"No",1
"301016",25,"male","Bachelor",61044,0,"RENT",3000,"HOMEIMPROVEMENT",6.03,0.05,3,590,"Yes",0
"301017",23,"female","Bachelor",76087,0,"MORTGAGE",9600,"MEDICAL",13.22,0.13,3,674,"No",0
"301018",22,"female","Master",72877,0,"MORTGAGE",8000,"EDUCATION",7.14,0.11,2,699,"Yes",0
"301019",25,"female","High School",58362,1,"RENT",3000,"EDUCATION",9.32,0.05,4,665,"No",1
