"num","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
5764,1.01,"Premium","J","VVS2",62.7,59,3897,6.46,6.39,4.03
51727,0.7,"Good","F","SI1",63.2,57,2401,5.62,5.68,3.57
52626,0.33,"Ideal","H","VS2",60.7,55,551,4.48,4.51,2.73
38679,0.3,"Ideal","D","VVS2",61.7,57,1041,4.3,4.32,2.66
45177,0.5,"Ideal","E","VS2",60.6,59,1655,5.1,5.2,3.12
8899,1.31,"Premium","J","SI1",60.3,62,4490,7.12,7.04,4.26
11759,1.02,"Ideal","H","SI1",59.9,56,5079,6.54,6.51,3.91
44640,0.54,"Ideal","E","VS2",61.7,55,1609,5.23,5.2,3.22
1183,0.9,"Very Good","E","SI2",58.7,63,2930,6.23,6.2,3.65
45615,0.7,"Fair","J","VVS1",67.6,54,1691,5.56,5.41,3.71
5794,1,"Good","F","SI2",63.7,57,3906,6.32,6.36,4.04
36805,0.3,"Ideal","G","IF",62.1,55,956,4.35,4.31,2.69
37720,0.34,"Ideal","G","VVS2",61.1,57,995,4.52,4.48,2.75
50020,0.7,"Premium","F","SI1",62.1,59,2196,5.68,5.72,3.54
822,0.83,"Very Good","I","VS2",61.6,58,2865,6.05,6.07,3.73
35530,0.46,"Ideal","E","SI1",62,54,905,4.97,4.99,3.09
46038,0.57,"Ideal","E","SI1",61.9,56,1728,5.35,5.32,3.3
12050,0.4,"Ideal","I","SI1",61.6,56,596,4.68,4.74,2.9
5453,0.8,"Very Good","E","VS1",63.2,54,3831,5.88,5.93,3.73
37630,0.4,"Ideal","D","SI1",61.8,55,990,4.78,4.74,2.94
45618,0.55,"Very Good","D","SI1",61.2,58,1692,5.24,5.29,3.22
16676,1.01,"Very Good","E","VS2",61.9,55,6666,6.38,6.44,3.97
18162,1.2,"Premium","E","SI1",60.3,57,7362,6.98,6.84,4.17
27355,2.57,"Premium","D","SI2",58.9,58,17924,8.99,8.94,5.28
42218,0.42,"Ideal","G","IF",62.6,53,1289,4.79,4.82,3.01
14395,0.3,"Very Good","G","VS1",62.9,60,605,4.26,4.29,2.69
30690,0.3,"Premium","F","VVS2",61.5,58,737,4.29,4.31,2.64
53694,0.77,"Ideal","F","SI1",61.3,56,2717,5.91,5.94,3.63
20632,1.39,"Premium","F","SI1",62.4,59,8925,7.14,7.09,4.44
14329,1.03,"Ideal","D","SI1",61.6,55,5804,6.49,6.53,4.01
9084,1.07,"Premium","G","SI2",62,59,4523,6.54,6.5,4.04
50131,0.63,"Premium","F","VS2",61,61,2211,5.6,5.49,3.38
38810,0.31,"Very Good","G","VVS1",63.5,57,1046,4.33,4.3,2.74
45369,0.52,"Ideal","G","VS1",61.7,57,1665,5.16,5.18,3.19
3714,0.9,"Very Good","G","SI2",63.1,55,3452,6.16,6.13,3.88
1530,0.71,"Ideal","F","SI1",61.9,56,2999,5.69,5.74,3.54
7934,1.02,"Good","D","SI2",61.5,61,4318,6.34,6.41,3.92
48820,0.51,"Premium","G","VVS1",60.2,58,2027,5.24,5.2,3.14
6923,0.91,"Premium","E","SI1",61.9,61,4138,6.12,6.1,3.78
11829,1,"Premium","D","SI1",61.4,58,5096,6.4,6.34,3.91
51772,0.8,"Premium","H","SI2",61.6,59,2409,5.92,5.86,3.63
45891,0.57,"Ideal","H","VS1",61.3,55.1,1720,5.34,5.42,3.29
22014,1.5,"Very Good","E","SI2",63.5,60,10080,7.25,7.21,4.59
28854,0.41,"Very Good","H","SI1",61.4,60,683,4.73,4.78,2.92
34056,0.36,"Premium","D","SI1",60.4,58,851,4.64,4.6,2.79
47526,0.52,"Ideal","D","VS2",61,57,1868,5.21,5.18,3.17
9021,1,"Premium","H","VS2",58.9,56,4514,6.53,6.51,3.84
29138,0.32,"Ideal","H","VVS1",62.7,55,692,4.37,4.4,2.75
4960,0.91,"Very Good","H","SI1",62.2,60,3734,6.16,6.22,3.85
36233,0.38,"Ideal","D","VS2",62,56,933,4.64,4.68,2.89
49433,0.73,"Premium","H","SI1",62.2,57,2107,5.8,5.77,3.6
44469,0.51,"Premium","E","SI1",61.5,58,1593,5.14,5.11,3.15
28475,0.32,"Ideal","G","VS2",62,57,672,4.41,4.37,2.72
17108,1.13,"Premium","F","VS2",59.8,61,6822,6.81,6.76,4.06
28341,0.33,"Ideal","F","VS2",62.6,55,666,4.4,4.42,2.76
5913,0.9,"Premium","F","SI1",61.7,62,3936,6.19,6.13,3.8
39343,0.38,"Ideal","E","VVS2",62.1,54.5,1073,4.62,4.66,2.88
49664,0.6,"Ideal","E","VS2",60.6,56,2141,5.47,5.52,3.33
45218,0.51,"Ideal","E","VS2",61.9,56,1656,5.12,5.16,3.18
4800,0.92,"Ideal","G","SI2",63,57,3697,6.16,6.13,3.87
2932,0.71,"Ideal","H","IF",61.1,56,3290,5.74,5.78,3.52
23254,1.78,"Premium","H","SI2",59.1,60,11262,7.93,7.87,4.67
51632,0.31,"Good","E","SI1",63.4,55,544,4.31,4.33,2.74
34097,0.36,"Premium","D","VS2",61.8,58,852,4.55,4.58,2.82
14461,1.03,"Ideal","D","SI2",60.7,58,5836,6.51,6.53,3.96
3916,0.72,"Ideal","F","VS2",61.3,55,3495,5.78,5.83,3.56
8317,1.1,"Ideal","J","SI1",61.5,55,4390,6.65,6.68,4.1
29219,0.34,"Ideal","I","IF",61.6,54,695,4.5,4.53,2.78
52891,0.55,"Very Good","D","VVS2",61.3,57,2585,5.26,5.28,3.23
8664,1.04,"Ideal","G","SI2",61.7,56,4455,6.57,6.52,4.04
45769,0.52,"Ideal","F","VS1",62.5,57,1707,5.17,5.13,3.22
31769,0.32,"Premium","G","VS1",61.2,62,773,4.45,4.41,2.71
29095,0.36,"Premium","D","SI2",60,58,689,4.62,4.58,2.76
28109,0.36,"Ideal","D","SI1",62.7,57,663,4.54,4.59,2.86
47360,0.54,"Very Good","H","VVS1",62,57,1846,5.2,5.25,3.24
25244,1.5,"Fair","F","VS2",65.3,57,13853,7.15,7.12,4.66
15697,0.29,"Ideal","G","VVS1",62.8,54,607,4.21,4.24,2.65
25295,1.7,"Ideal","H","VS1",62.4,55,13949,7.69,7.61,4.77
23669,2.02,"Ideal","H","SI2",60.8,56,11715,8.21,8.14,4.97
4372,0.73,"Very Good","G","VVS1",62.9,59,3606,5.7,5.78,3.61
824,0.56,"Very Good","D","VVS1",62,56,2866,5.25,5.3,3.27
6411,0.92,"Premium","H","VS1",61.7,62,4039,6.2,6.12,3.8
18601,1.12,"Very Good","E","VS2",62.8,57,7589,6.61,6.64,4.16
4331,1.01,"Ideal","J","SI1",60.5,56,3599,6.49,6.53,3.94
42453,0.5,"Ideal","E","SI1",62.2,57,1316,5.05,5.11,3.16
8444,1.01,"Premium","F","SI1",61.9,58,4412,6.38,6.34,3.94
31496,0.34,"Ideal","G","VS2",62.2,55,765,4.5,4.47,2.79
47774,0.51,"Very Good","G","VVS2",63.4,57,1895,5.09,5.06,3.22
