"id","person_age","person_gender","person_education","person_income","person_emp_exp","person_home_ownership","loan_amnt","loan_intent","loan_int_rate","loan_percent_income","cb_person_cred_hist_length","credit_score","previous_loan_defaults_on_file","loan_status"
"12181",33,"male","Associate",132575,12,"RENT",15000,"EDUCATION",14.42,0.11,9,656,"No",0
"12182",34,"male","Master",51477,11,"RENT",6000,"EDUCATION",10.59,0.12,7,622,"No",0
"12183",24,"female","Master",40482,4,"MORTGAGE",8125,"MEDICAL",8.59,0.2,4,658,"Yes",0
"12184",25,"female","Master",67070,4,"RENT",4000,"EDUCATION",9.36,0.06,4,709,"Yes",0
"12185",24,"female","Master",43163,0,"RENT",10000,"PERSONAL",12.84,0.23,4,694,"Yes",0
"12186",22,"male","Master",58876,1,"RENT",1000,"EDUCATION",7.29,0.02,2,576,"Yes",0
"12187",36,"male","Associate",94438,14,"MORTGAGE",15000,"PERSONAL",7.88,0.16,16,608,"No",0
"12188",23,"female","Bachelor",77706,0,"RENT",10000,"VENTURE",11.01,0.13,3,667,"No",1
"12189",35,"female","High School",31209,12,"RENT",7050,"DEBTCONSOLIDATION",12.23,0.23,7,663,"No",0
"121810",25,"male","Associate",88781,2,"MORTGAGE",5000,"DEBTCONSOLIDATION",11.01,0.06,2,607,"Yes",0
"121811",34,"male","Bachelor",87374,12,"OWN",13150,"MEDICAL",6.03,0.15,10,577,"Yes",0
"121812",27,"female","Bachelor",72556,7,"RENT",6000,"HOMEIMPROVEMENT",14.59,0.08,7,691,"Yes",0
"121813",30,"female","Bachelor",75201,6,"MORTGAGE",9600,"PERSONAL",11.99,0.13,8,671,"Yes",0
"121814",29,"female","Associate",31039,7,"MORTGAGE",7475,"DEBTCONSOLIDATION",8.49,0.24,6,552,"No",0
"121815",25,"male","Associate",138974,2,"RENT",5000,"MEDICAL",13.11,0.04,3,663,"No",1
"121816",35,"female","Master",64995,13,"MORTGAGE",10000,"HOMEIMPROVEMENT",9.91,0.15,9,597,"No",0
"121817",25,"female","Associate",82236,1,"RENT",3000,"PERSONAL",14.27,0.04,3,611,"No",0
"121818",34,"male","Associate",41168,15,"RENT",8400,"MEDICAL",10.99,0.2,9,617,"No",1
"121819",21,"female","Associate",54614,0,"RENT",6000,"VENTURE",9.55,0.11,4,668,"No",0
"121820",25,"female","Associate",61522,0,"RENT",4800,"EDUCATION",6.03,0.08,5,555,"Yes",0
"121821",33,"female","High School",30917,9,"RENT",2800,"PERSONAL",9.32,0.09,7,644,"Yes",0
"121822",24,"female","Bachelor",90782,0,"RENT",23929,"PERSONAL",11.06,0.26,4,627,"No",1
"121823",29,"male","Master",210777,5,"MORTGAGE",10000,"MEDICAL",11.01,0.05,7,686,"No",0
"121824",33,"male","Associate",110709,14,"MORTGAGE",1600,"EDUCATION",10.25,0.01,5,695,"Yes",0
"121825",23,"male","Associate",61180,0,"RENT",8000,"MEDICAL",12.73,0.13,4,695,"No",0
"121826",23,"male","Master",177269,1,"MORTGAGE",24884,"DEBTCONSOLIDATION",10.34,0.14,3,583,"Yes",0
"121827",24,"female","Bachelor",55037,0,"RENT",5000,"MEDICAL",13.79,0.09,2,588,"No",0
"121828",24,"female","Associate",49243,0,"RENT",7000,"EDUCATION",11.38,0.14,3,646,"No",0
"121829",21,"male","High School",38108,0,"RENT",6000,"EDUCATION",16.89,0.16,4,574,"No",1
"121830",24,"male","Associate",46786,2,"MORTGAGE",6000,"PERSONAL",9.88,0.13,4,673,"No",0
"121831",24,"female","Bachelor",112996,2,"RENT",6400,"VENTURE",13.23,0.06,3,534,"Yes",0
"121832",26,"female","High School",85288,3,"RENT",8000,"EDUCATION",15.51,0.09,4,663,"No",0
"121833",23,"female","High School",61054,0,"MORTGAGE",13357,"DEBTCONSOLIDATION",14.65,0.22,3,603,"No",1
"121834",34,"female","High School",32159,13,"RENT",8500,"EDUCATION",12.08,0.26,12,669,"No",1
"121835",23,"female","Bachelor",55268,3,"RENT",10000,"DEBTCONSOLIDATION",11.48,0.18,2,601,"Yes",0
"121836",22,"female","High School",37532,0,"MORTGAGE",6000,"EDUCATION",12.73,0.16,2,608,"Yes",0
"121837",25,"female","Bachelor",206035,0,"MORTGAGE",6500,"MEDICAL",15.01,0.03,2,615,"No",1
"121838",28,"female","Associate",170887,3,"MORTGAGE",12807,"PERSONAL",11.31,0.07,7,516,"Yes",0
"121839",27,"male","High School",61095,3,"RENT",14000,"VENTURE",6.54,0.23,8,538,"Yes",0
"121840",43,"female","Associate",35523,23,"OWN",5000,"MEDICAL",7.88,0.14,11,697,"Yes",0
"121841",23,"male","High School",157057,0,"MORTGAGE",20000,"DEBTCONSOLIDATION",12.73,0.13,3,582,"No",0
"121842",29,"male","High School",89379,7,"RENT",8885,"EDUCATION",15.95,0.1,9,666,"Yes",0
"121843",58,"male","Master",87630,35,"RENT",4500,"HOMEIMPROVEMENT",11.01,0.05,23,725,"No",0
"121844",26,"female","Associate",61049,2,"MORTGAGE",5000,"PERSONAL",9.32,0.08,2,633,"Yes",0
"121845",48,"male","Master",80158,24,"RENT",6000,"HOMEIMPROVEMENT",11.89,0.07,16,608,"Yes",0
"121846",38,"female","Master",205089,15,"RENT",5500,"VENTURE",11.01,0.03,13,722,"Yes",0
"121847",24,"female","Master",16904,2,"RENT",2449,"VENTURE",13.69,0.14,3,650,"No",1
"121848",24,"male","Associate",240894,3,"MORTGAGE",12000,"HOMEIMPROVEMENT",13.49,0.05,2,678,"No",0
"121849",35,"male","Associate",105046,13,"MORTGAGE",15000,"HOMEIMPROVEMENT",10.97,0.14,7,622,"Yes",0
"121850",27,"male","Bachelor",293678,5,"MORTGAGE",14593,"PERSONAL",13.28,0.05,5,599,"Yes",0
"121851",27,"male","Master",73008,5,"RENT",5000,"PERSONAL",14.54,0.07,10,589,"No",1
"121852",28,"male","Master",69211,3,"RENT",20000,"DEBTCONSOLIDATION",11.71,0.29,6,701,"No",1
"121853",26,"male","Associate",37128,1,"RENT",8000,"HOMEIMPROVEMENT",11.01,0.22,3,658,"No",1
"121854",33,"female","Master",138876,13,"MORTGAGE",7249,"DEBTCONSOLIDATION",12.09,0.05,10,689,"No",0
"121855",32,"male","Associate",70613,8,"RENT",17500,"EDUCATION",13.46,0.25,9,608,"Yes",0
"121856",25,"male","Bachelor",60736,2,"MORTGAGE",10000,"MEDICAL",11.66,0.16,4,654,"Yes",0
"121857",33,"male","Bachelor",124084,12,"MORTGAGE",11000,"HOMEIMPROVEMENT",11.14,0.09,8,589,"Yes",0
"121858",24,"female","Bachelor",94382,3,"MORTGAGE",8500,"DEBTCONSOLIDATION",7.51,0.09,4,606,"Yes",0
"121859",27,"female","Master",331396,5,"RENT",10000,"HOMEIMPROVEMENT",14.91,0.03,10,653,"Yes",0
"121860",26,"male","Master",31184,3,"RENT",1530,"PERSONAL",12.76,0.05,2,655,"Yes",0
"121861",26,"male","Bachelor",294720,3,"MORTGAGE",12000,"MEDICAL",16.29,0.04,4,697,"No",1
"121862",35,"male","Bachelor",57246,11,"RENT",14000,"MEDICAL",14.27,0.24,5,631,"Yes",0
"121863",24,"female","Associate",48911,3,"RENT",3500,"VENTURE",11.01,0.07,2,664,"Yes",0
"121864",28,"female","Master",60125,4,"MORTGAGE",4750,"MEDICAL",10.25,0.08,8,652,"Yes",0
"121865",37,"male","High School",163108,15,"RENT",10000,"VENTURE",7.74,0.06,13,699,"Yes",0
"121866",28,"female","Associate",180907,3,"MORTGAGE",6000,"PERSONAL",9.87,0.03,4,674,"Yes",0
"121867",27,"female","High School",72007,4,"MORTGAGE",11000,"VENTURE",10.85,0.15,5,505,"Yes",0
"121868",23,"female","Associate",97176,1,"MORTGAGE",15000,"EDUCATION",12.56,0.15,4,534,"Yes",0
"121869",25,"male","High School",55023,0,"RENT",5100,"MEDICAL",10,0.09,4,613,"No",0
"121870",39,"female","High School",60921,18,"RENT",8000,"HOMEIMPROVEMENT",9.19,0.13,14,710,"No",0
"121871",25,"female","High School",44844,2,"RENT",5587,"EDUCATION",9.64,0.12,4,634,"No",0
"121872",30,"male","Bachelor",150894,9,"MORTGAGE",5750,"VENTURE",7.43,0.04,10,661,"Yes",0
"121873",23,"female","High School",90841,0,"RENT",3500,"EDUCATION",11.11,0.04,4,609,"Yes",0
"121874",23,"female","High School",68203,0,"MORTGAGE",7200,"VENTURE",6.03,0.11,2,578,"Yes",0
"121875",22,"male","Bachelor",31921,0,"RENT",4800,"MEDICAL",10.99,0.15,4,676,"No",0
"121876",26,"female","High School",58735,6,"MORTGAGE",4500,"DEBTCONSOLIDATION",5.55,0.08,3,622,"Yes",0
"121877",38,"female","Associate",89972,17,"MORTGAGE",18000,"DEBTCONSOLIDATION",14.35,0.2,17,537,"Yes",0
"121878",24,"female","High School",91251,5,"RENT",4975,"DEBTCONSOLIDATION",6.76,0.05,4,526,"Yes",0
"121879",28,"male","Associate",32281,6,"RENT",4051,"DEBTCONSOLIDATION",11.52,0.13,6,664,"No",1
"121880",27,"male","Bachelor",87230,6,"RENT",10000,"MEDICAL",10.95,0.11,9,679,"Yes",0
"121881",27,"female","Bachelor",102808,4,"MORTGAGE",18999,"VENTURE",13.89,0.18,5,661,"Yes",0
"121882",25,"female","Associate",181078,1,"MORTGAGE",25000,"DEBTCONSOLIDATION",10.25,0.14,2,664,"Yes",0
"121883",31,"male","High School",41882,7,"RENT",5000,"EDUCATION",5.42,0.12,7,681,"Yes",0
"121884",37,"male","Associate",25182,16,"OWN",3000,"VENTURE",12.69,0.12,17,674,"Yes",0
"121885",25,"female","Master",36129,0,"RENT",2500,"MEDICAL",12.73,0.07,4,711,"No",1
"121886",26,"male","High School",73705,5,"MORTGAGE",5000,"MEDICAL",11.01,0.07,4,533,"No",0
"121887",24,"female","Associate",50882,2,"RENT",6000,"DEBTCONSOLIDATION",11.28,0.12,2,593,"No",1
"121888",27,"male","Bachelor",63265,2,"MORTGAGE",8000,"DEBTCONSOLIDATION",8.9,0.13,10,696,"Yes",0
"121889",22,"male","Associate",71698,0,"RENT",6500,"EDUCATION",10.95,0.09,3,667,"Yes",0
"121890",30,"female","High School",87262,7,"MORTGAGE",9600,"EDUCATION",14.17,0.11,5,629,"Yes",0
"121891",34,"male","Bachelor",128188,10,"RENT",3000,"EDUCATION",11.12,0.02,7,659,"Yes",0
"121892",23,"female","Bachelor",115239,0,"RENT",5000,"PERSONAL",9.63,0.04,4,686,"No",0
"121893",32,"male","Bachelor",175043,7,"MORTGAGE",20000,"DEBTCONSOLIDATION",11.36,0.11,8,669,"No",0
"121894",29,"male","Bachelor",144907,9,"MORTGAGE",18203,"PERSONAL",10.18,0.13,8,698,"No",0
"121895",28,"male","High School",172586,5,"MORTGAGE",25000,"DEBTCONSOLIDATION",17.93,0.14,6,599,"No",1
