"num","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
33471,0.32,"Ideal","F","VS2",60.3,55,828,4.45,4.4,2.67
402,0.3,"Ideal","H","SI1",62.9,57,554,4.27,4.22,2.67
25772,1.51,"Ideal","G","VS1",60.8,54,14733,7.4,7.48,4.52
10791,1.07,"Very Good","G","SI1",60.5,62,4861,6.6,6.69,4.02
44192,0.51,"Premium","D","SI1",60.3,59,1569,5.2,5.22,3.14
16369,0.33,"Very Good","D","SI1",61.5,60,608,4.41,4.44,2.72
46360,0.51,"Good","E","VS1",57.9,63,1760,5.24,5.39,3.08
40999,0.6,"Ideal","I","SI2",61.9,55,1182,5.43,5.46,3.37
19852,1.18,"Very Good","G","VS2",62.7,54.7,8411,6.74,6.77,4.23
2659,0.7,"Very Good","G","VVS2",60,60,3235,5.78,5.85,3.49
51535,0.7,"Ideal","I","VVS1",62.8,56.3,2386,5.65,5.69,3.56
23116,1.23,"Ideal","F","VVS2",61.8,56,11141,6.89,6.84,4.24
43102,0.57,"Very Good","E","SI2",58.8,57.3,1384,5.42,5.46,3.21
16657,1.06,"Ideal","G","VS2",62.2,56,6660,6.51,6.54,4.06
40124,0.41,"Ideal","F","VVS2",61.4,56,1115,4.76,4.81,2.94
43975,0.3,"Ideal","I","VS1",62.2,56,518,4.27,4.31,2.67
48059,0.55,"Premium","D","VS2",61.3,60,1928,5.28,5.29,3.24
37370,0.4,"Ideal","G","VVS2",62.4,56,982,4.72,4.74,2.95
37536,0.4,"Premium","E","VVS2",60.8,59,988,4.73,4.77,2.89
23804,1.5,"Very Good","D","SI1",63.1,57,11863,7.31,7.24,4.59
41316,0.42,"Ideal","H","IF",61,56,1213,4.82,4.79,2.93
9471,1,"Ideal","I","SI1",61.8,55,4602,6.41,6.44,3.97
36774,0.34,"Premium","F","VS1",60.4,58,956,4.53,4.51,2.73
13679,1.02,"Very Good","D","SI1",63.3,58,5598,6.39,6.35,4.03
32571,0.38,"Ideal","F","VS2",62.1,57,800,4.61,4.67,2.88
33507,0.32,"Ideal","F","VS2",62.5,56,828,4.4,4.37,2.74
43967,0.32,"Very Good","H","SI2",63.1,56,517,4.37,4.34,2.75
49413,0.7,"Very Good","I","VVS2",58.6,60,2106,5.79,5.91,3.43
30735,0.41,"Good","G","SI1",64.2,57,739,4.67,4.71,3.01
29740,0.32,"Ideal","G","VVS2",61.6,56,708,4.42,4.44,2.73
14607,1.21,"Premium","J","VVS1",61.3,59,5893,6.81,6.86,4.19
51775,0.72,"Ideal","H","SI2",61.3,55,2410,5.78,5.81,3.55
39856,0.39,"Ideal","E","VVS2",62.1,54.6,1100,4.67,4.7,2.91
4677,1.06,"Premium","J","SI2",61.3,60,3672,6.52,6.59,4.02
10255,0.93,"Premium","G","VS2",62.2,59,4750,6.26,6.21,3.88
51715,0.7,"Very Good","F","SI1",62.9,59,2401,5.62,5.67,3.55
24470,1.7,"Ideal","I","VS1",62.2,55,12737,7.67,7.63,4.76
30244,0.33,"Ideal","E","VS2",62.1,56,723,4.4,4.45,2.75
47052,0.68,"Very Good","E","SI2",63.1,54.5,1821,5.61,5.64,3.55
11360,1.06,"Very Good","F","SI1",62.3,56,4995,6.5,6.57,4.07
5704,0.3,"Premium","D","SI2",62.2,59,574,4.3,4.25,2.66
14220,1.2,"Ideal","I","SI1",60.3,56,5763,6.87,6.97,4.17
14837,1.01,"Very Good","F","SI1",61.3,60,5975,6.39,6.43,3.93
17693,1.06,"Very Good","G","VS1",61.7,57,7132,6.52,6.56,4.04
6400,1.01,"Premium","G","SI2",63,58,4038,6.34,6.29,3.98
20192,1.04,"Ideal","G","VVS1",62.2,55,8637,6.48,6.51,4.04
48065,0.51,"Premium","E","VS1",61.3,58,1928,5.17,5.14,3.16
41791,0.41,"Very Good","E","VVS2",61.6,60,1249,4.75,4.77,2.93
5265,0.72,"Ideal","F","VVS1",61.7,56,3795,5.73,5.77,3.55
18026,1.5,"Premium","H","SI2",62.3,59,7291,7.27,7.21,4.52
31581,0.35,"Premium","E","VS2",61.6,58,767,4.52,4.57,2.8
23594,1.58,"Ideal","G","SI1",60.7,56,11610,7.56,7.6,4.6
36738,0.32,"Ideal","G","IF",61.2,57,954,4.4,4.43,2.7
13680,1.02,"Very Good","D","SI1",63.5,61,5598,6.35,6.27,4.01
31602,0.2,"Premium","D","VS2",61.7,60,367,3.77,3.72,2.31
51028,0.74,"Premium","G","SI2",62.8,54,2328,5.76,5.73,3.61
12400,1.12,"Premium","G","SI1",60.1,58,5233,6.78,6.83,4.09
49247,0.56,"Ideal","E","VS1",61.2,56,2085,5.3,5.34,3.26
34768,0.41,"Ideal","E","SI2",62.8,57,876,4.73,4.7,2.96
34840,0.3,"Premium","G","VVS2",61.2,58,878,4.34,4.32,2.65
4096,0.9,"Very Good","I","VS2",62.1,61,3535,6.08,6.12,3.79
40043,0.7,"Good","I","I1",63.9,62,1111,5.62,5.57,3.58
31352,0.41,"Ideal","E","SI2",61.2,56,760,4.81,4.84,2.95
18537,1.51,"Premium","J","VS2",59.2,59,7553,7.53,7.47,4.44
20981,1.54,"Ideal","G","SI2",61.9,55,9193,7.47,7.39,4.6
36989,0.41,"Premium","E","VS1",60.7,59,964,4.77,4.79,2.9
