"num","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
39361,0.52,"Premium","F","SI2",62.7,57,1073,5.11,5.07,3.19
52609,0.7,"Very Good","G","SI1",62.5,59,2545,5.69,5.73,3.57
4253,0.91,"Very Good","I","VS2",62.5,58,3579,6.13,6.19,3.85
47822,0.72,"Ideal","J","VS2",60.8,59,1904,5.76,5.81,3.52
23756,1.56,"Very Good","H","VS1",63.9,57,11804,7.3,7.37,4.69
19577,1.53,"Premium","J","VS1",62.8,59,8205,7.34,7.31,4.6
44525,0.52,"Very Good","E","VS1",63.4,54,1601,5.08,5.11,3.23
15823,1.01,"Good","F","VS2",63.9,58,6330,6.32,6.39,4.06
3254,0.9,"Good","H","SI1",63.8,58,3357,6.05,6.12,3.88
35164,0.4,"Ideal","D","VS2",62.2,54,891,4.73,4.76,2.95
20588,1.07,"Ideal","G","VVS1",60.9,56,8895,6.6,6.67,4.04
15704,0.24,"Very Good","F","VVS2",61.8,56,608,4.01,4.04,2.48
51781,0.7,"Very Good","I","VS1",63.1,57,2411,5.67,5.59,3.55
40555,0.41,"Ideal","G","VVS1",61.7,55,1151,4.77,4.79,2.95
48433,0.51,"Premium","G","VVS2",59.1,59,1974,5.21,5.18,3.07
23837,1.51,"Ideal","G","SI1",62.4,56,11917,7.36,7.33,4.59
44730,0.62,"Ideal","H","VS2",61.2,54,1616,5.51,5.6,3.4
29407,0.33,"Ideal","G","VS1",61.9,55,699,4.44,4.49,2.77
11012,1.01,"Very Good","G","SI1",62.6,59,4916,6.38,6.3,3.97
29460,0.33,"Very Good","G","VVS2",61.5,62,702,4.39,4.43,2.71
2630,0.65,"Ideal","D","VVS2",61.4,60,3228,5.54,5.57,3.41
30649,0.4,"Ideal","I","VS1",61.2,56,736,4.76,4.82,2.93
17553,1.19,"Good","E","VS2",57.4,60,7064,7,6.9,3.99
51967,0.3,"Ideal","H","VS1",62.4,55,545,4.32,4.34,2.7
27754,0.32,"Ideal","I","VS1",62.3,57,648,4.42,4.37,2.74
