"num","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
12293,1.21,"Premium","H","SI2",61.9,55,5218,6.84,6.79,4.22
11204,1.13,"Very Good","H","SI1",60.1,60,4959,6.73,6.77,4.06
15343,1.01,"Very Good","F","VS2",61.3,61,6159,6.34,6.38,3.9
7633,0.91,"Good","D","SI1",64.6,58,4265,6.02,6.12,3.92
44137,0.59,"Ideal","E","SI1",62.2,55,1561,5.39,5.42,3.36
32291,0.31,"Premium","J","SI1",59.4,62,453,4.43,4.39,2.62
16480,1.2,"Premium","G","SI1",62.3,59,6586,6.84,6.75,4.23
37440,0.33,"Ideal","E","VVS1",61.7,56,984,4.42,4.46,2.74
41953,0.23,"Very Good","F","VVS2",62.9,57,505,3.9,3.95,2.47
32893,0.36,"Ideal","E","SI1",62.1,56,810,4.59,4.56,2.84
22632,1.59,"Very Good","D","SI2",59.9,59,10685,7.6,7.52,4.53
28951,0.31,"Very Good","E","SI2",61.2,61,435,4.36,4.37,2.67
34824,0.3,"Ideal","H","VVS1",61.9,55,878,4.34,4.32,2.68
18848,1.5,"Good","F","SI2",62.9,59,7727,7.19,7.32,4.56
9688,1.22,"Very Good","J","SI2",62.6,58,4652,6.78,6.84,4.26
2412,1.5,"Good","G","I1",57.4,62,3179,7.56,7.39,4.29
27884,0.3,"Very Good","H","VVS1",62.8,56,655,4.26,4.28,2.68
17169,1.06,"Ideal","D","VS2",62.5,54,6856,6.53,6.6,4.1
12653,1,"Ideal","E","SI1",62.3,55,5299,6.34,6.41,3.97
9738,1.2,"Premium","J","SI1",61.5,59,4657,6.84,6.81,4.2
2589,0.71,"Premium","D","VS2",59.2,59,3217,5.8,5.86,3.45
26261,2.13,"Ideal","I","SI2",62,55,15718,8.25,8.27,5.12
11300,1.04,"Premium","H","SI1",58.7,61,4980,6.62,6.57,3.87
42565,0.55,"Very Good","H","VS2",60.2,59,1327,5.36,5.24,3.19
11638,1.01,"Ideal","D","SI2",61.6,57,5051,6.32,6.45,3.93
32383,0.3,"Ideal","D","VS2",62.4,55,790,4.32,4.3,2.69
9665,1,"Very Good","F","SI1",62.5,56,4643,6.38,6.42,4
20870,1.01,"Very Good","E","VVS2",62.8,56,9089,6.34,6.39,4
32347,0.36,"Ideal","E","VS2",61.9,56,789,4.56,4.59,2.83
20506,1.51,"Premium","E","SI1",63,58,8836,7.4,7.27,4.62
30337,0.34,"Premium","F","SI1",59.8,58,727,4.57,4.53,2.72
9729,0.9,"Good","F","VS2",60,58,4655,6.21,6.26,3.74
6543,1.01,"Very Good","F","SI2",63.1,57,4072,6.37,6.3,4
8316,1,"Ideal","H","SI2",58.3,61,4390,6.56,6.61,3.84
7180,1.11,"Ideal","G","SI2",61.9,55,4185,6.65,6.6,4.1
34447,0.31,"Ideal","E","VVS2",62,54,864,4.33,4.35,2.69
18874,1.11,"Ideal","F","VS2",61.6,57,7740,6.65,6.67,4.1
27318,2.01,"Ideal","H","VS1",62.9,54,17838,8.01,7.96,5.02
19914,1.28,"Premium","G","VS2",61.4,58,8458,7,6.92,4.27
11024,1.33,"Fair","E","SI2",65,57,4916,6.93,6.89,4.49
50997,0.31,"Premium","G","VS2",60.9,58,544,4.35,4.38,2.66
21293,1.21,"Premium","F","VS1",60.1,58,9448,6.98,6.89,4.17
36604,0.32,"Ideal","D","SI2",59.5,57,477,4.47,4.5,2.67
12898,1.07,"Ideal","I","VS1",62,53,5373,6.61,6.62,4.1
52141,0.76,"Premium","F","SI2",61.8,58,2469,5.83,5.88,3.62
45318,0.32,"Premium","H","VS1",61.6,59,524,4.37,4.39,2.7
9637,0.97,"Premium","D","SI1",62,60,4639,6.29,6.25,3.89
47607,0.72,"Premium","J","SI1",62,58,1879,5.77,5.74,3.57
16913,1.37,"Premium","E","SI2",61,57,6751,7.25,7.19,4.4
39652,0.4,"Ideal","G","VS1",61.4,55,1087,4.77,4.78,2.93
3613,0.82,"Ideal","F","SI1",61.1,56,3428,6.06,6.08,3.71
45352,0.59,"Ideal","E","SI1",62,55,1664,5.37,5.4,3.34
49615,0.7,"Ideal","F","SI2",62.8,55,2138,5.68,5.65,3.56
14207,1.31,"Premium","I","VS1",61.9,56,5759,7.07,6.98,4.35
