"id","person_age","person_gender","person_education","person_income","person_emp_exp","person_home_ownership","loan_amnt","loan_intent","loan_int_rate","loan_percent_income","cb_person_cred_hist_length","credit_score","previous_loan_defaults_on_file","loan_status"
"11881",43,"female","Associate",60835,16,"RENT",8000,"HOMEIMPROVEMENT",7.54,0.13,16,586,"Yes",0
"11882",25,"female","Bachelor",26667,2,"RENT",7500,"MEDICAL",11.34,0.28,3,656,"No",1
"11883",23,"female","Associate",132178,2,"MORTGAGE",7500,"PERSONAL",10,0.06,4,599,"Yes",0
"11884",29,"male","Bachelor",55071,7,"RENT",10000,"VENTURE",12.42,0.18,7,567,"Yes",0
"11885",26,"male","High School",51432,2,"RENT",12421,"EDUCATION",8.23,0.24,4,594,"Yes",0
"11886",26,"female","Master",55178,3,"RENT",1500,"MEDICAL",10.25,0.03,4,610,"Yes",0
"11887",28,"male","Bachelor",135420,5,"RENT",6000,"MEDICAL",12.69,0.04,8,647,"Yes",0
"11888",27,"male","Associate",67203,8,"RENT",10000,"HOMEIMPROVEMENT",10.25,0.15,5,603,"Yes",0
"11889",39,"male","Bachelor",60961,15,"MORTGAGE",5000,"DEBTCONSOLIDATION",11.38,0.08,13,651,"No",0
"118810",25,"female","Master",51328,4,"RENT",6887,"MEDICAL",17.07,0.13,3,706,"No",1
"118811",21,"male","Associate",43208,0,"RENT",6400,"MEDICAL",12.69,0.15,4,672,"No",0
"118812",25,"female","Associate",55543,1,"MORTGAGE",6000,"VENTURE",5.64,0.11,5,638,"Yes",0
"118813",24,"female","Bachelor",88452,0,"RENT",19000,"HOMEIMPROVEMENT",10.62,0.21,3,653,"No",0
"118814",34,"female","Bachelor",169285,16,"MORTGAGE",12000,"DEBTCONSOLIDATION",11.01,0.07,8,605,"Yes",0
"118815",24,"male","High School",81479,1,"MORTGAGE",12150,"HOMEIMPROVEMENT",10.37,0.15,3,606,"Yes",0
"118816",26,"female","Bachelor",67034,2,"RENT",4200,"MEDICAL",14.01,0.06,5,645,"No",0
"118817",28,"female","Master",48753,5,"RENT",11498,"PERSONAL",9.33,0.24,5,723,"No",0
"118818",28,"male","Master",75897,4,"MORTGAGE",5400,"MEDICAL",7.29,0.07,7,635,"Yes",0
"118819",25,"female","Bachelor",48841,1,"RENT",12000,"MEDICAL",10.99,0.25,2,607,"Yes",0
"118820",25,"male","High School",63607,2,"RENT",20000,"VENTURE",10.99,0.31,3,647,"No",1
"118821",30,"female","Bachelor",157244,8,"MORTGAGE",10000,"DEBTCONSOLIDATION",8.49,0.06,10,632,"No",0
"118822",38,"female","Bachelor",65709,16,"MORTGAGE",7542,"VENTURE",11.84,0.11,14,625,"No",1
"118823",23,"male","High School",50595,3,"RENT",5000,"EDUCATION",7.51,0.1,2,652,"Yes",0
"118824",29,"female","Bachelor",72879,5,"RENT",12000,"MEDICAL",9.91,0.16,7,665,"Yes",0
"118825",28,"male","Associate",56090,4,"RENT",2452,"EDUCATION",8.37,0.04,7,586,"Yes",0
"118826",30,"male","High School",134243,5,"MORTGAGE",12500,"HOMEIMPROVEMENT",19.04,0.09,8,648,"No",1
"118827",31,"male","Bachelor",121396,7,"RENT",12000,"MEDICAL",14.91,0.1,7,643,"No",1
"118828",36,"female","Associate",180556,12,"MORTGAGE",10000,"EDUCATION",11.01,0.06,15,636,"No",0
"118829",22,"female","Associate",85013,1,"MORTGAGE",6000,"EDUCATION",7.14,0.07,4,610,"Yes",0
"118830",32,"female","Bachelor",79104,11,"RENT",6000,"MEDICAL",7.49,0.08,5,532,"Yes",0
"118831",25,"male","Associate",76913,0,"MORTGAGE",27250,"VENTURE",8.9,0.35,4,640,"Yes",0
"118832",25,"male","Bachelor",91006,3,"RENT",10664,"EDUCATION",9.62,0.12,7,675,"Yes",0
"118833",26,"male","Master",55862,6,"RENT",9000,"DEBTCONSOLIDATION",7.14,0.16,3,660,"Yes",0
"118834",28,"male","Associate",39737,6,"RENT",12000,"DEBTCONSOLIDATION",7.88,0.3,9,655,"No",1
"118835",39,"male","High School",61889,17,"RENT",6725,"EDUCATION",16.45,0.11,11,606,"Yes",0
"118836",38,"male","High School",27063,12,"RENT",6500,"VENTURE",8.49,0.24,13,614,"Yes",0
"118837",23,"female","Associate",55096,1,"MORTGAGE",7000,"DEBTCONSOLIDATION",5.42,0.13,3,608,"No",0
"118838",28,"male","Master",85030,8,"MORTGAGE",8000,"PERSONAL",9.06,0.09,9,626,"Yes",0
"118839",23,"male","Bachelor",84897,2,"RENT",15000,"EDUCATION",10.91,0.18,2,609,"Yes",0
"118840",28,"male","Master",180975,8,"RENT",12500,"MEDICAL",14.35,0.07,8,703,"No",0
"118841",29,"male","Master",36723,3,"RENT",5000,"MEDICAL",11.49,0.14,9,644,"No",0
"118842",24,"male","Bachelor",67404,0,"RENT",10000,"HOMEIMPROVEMENT",5.42,0.15,2,708,"Yes",0
"118843",26,"male","Bachelor",55440,4,"RENT",4800,"VENTURE",9.25,0.09,2,549,"Yes",0
"118844",22,"female","Master",73193,0,"RENT",15000,"EDUCATION",11.71,0.2,4,678,"Yes",0
"118845",28,"female","Bachelor",69841,6,"RENT",4800,"HOMEIMPROVEMENT",11.99,0.07,6,715,"No",0
"118846",30,"female","High School",181444,5,"RENT",21000,"VENTURE",12.62,0.12,9,536,"Yes",0
